customer_unique_id,last_order_date,recency_days,frequency,monetary,segment
cust_002268,2018-02-13,199,12,5946.87,Loyal Customers
cust_015856,2017-10-02,333,10,4461.94,Loyal Customers
cust_000344,2018-01-11,232,11,4138.23,Loyal Customers
cust_005382,2017-12-16,258,11,4131.84,Loyal Customers
cust_010163,2017-12-09,265,9,3657.78,Loyal Customers
cust_018030,2017-12-26,248,9,3489.87,Loyal Customers
cust_009235,2018-02-25,187,9,3310.07,Loyal Customers
cust_011088,2017-07-26,401,9,3097.96,At Risk (was frequent)
cust_010408,2017-02-18,559,5,2988.54,At Risk (was frequent)
cust_017708,2018-01-08,235,5,2967.04,Loyal Customers
cust_004737,2017-10-23,312,4,2821.73,Loyal Customers
cust_000283,2018-02-03,209,6,2812.05,Loyal Customers
cust_006504,2017-09-02,363,6,2806.47,At Risk (was frequent)
cust_016587,2017-12-14,260,7,2743.69,Loyal Customers
cust_017757,2018-01-17,226,5,2737.58,Loyal Customers
cust_003301,2017-12-19,255,6,2696.65,Loyal Customers
cust_004063,2017-12-24,250,7,2678.3,Loyal Customers
cust_017986,2017-11-16,288,6,2634.0,Loyal Customers
cust_015520,2017-11-07,297,11,2618.38,Loyal Customers
cust_000859,2018-01-28,215,4,2528.6,Loyal Customers
cust_009416,2017-12-13,261,5,2453.82,Loyal Customers
cust_012769,2018-01-19,224,6,2398.19,Loyal Customers
cust_016746,2017-11-12,292,6,2353.85,Loyal Customers
cust_003579,2017-08-25,371,6,2306.16,At Risk (was frequent)
cust_006708,2017-11-15,289,7,2303.66,Loyal Customers
cust_007755,2017-11-12,292,8,2280.37,Loyal Customers
cust_006079,2017-11-18,286,7,2253.31,Loyal Customers
cust_009671,2018-01-05,238,10,2245.63,Loyal Customers
cust_007137,2018-03-02,182,6,2234.0,Loyal Customers
cust_018562,2018-01-15,228,9,2161.88,Loyal Customers
cust_001116,2018-01-17,226,8,2156.92,Loyal Customers
cust_005331,2017-05-26,462,4,2156.92,At Risk (was frequent)
cust_011151,2018-02-03,209,6,2127.84,Loyal Customers
cust_001343,2018-02-14,198,3,2124.1,Loyal Customers
cust_014378,2017-12-09,265,5,2115.79,Loyal Customers
cust_012224,2017-11-10,294,10,2066.02,Loyal Customers
cust_014405,2017-05-04,484,2,2057.96,At Risk (was frequent)
cust_012013,2017-03-19,530,3,2031.3,At Risk (was frequent)
cust_003129,2017-11-03,301,5,2015.23,Loyal Customers
cust_005102,2017-04-25,493,5,2001.87,At Risk (was frequent)
cust_018268,2017-06-30,427,6,1987.38,At Risk (was frequent)
cust_006305,2018-02-15,197,6,1984.16,Loyal Customers
cust_012031,2017-12-03,271,6,1979.97,Loyal Customers
cust_003805,2018-02-05,207,3,1973.22,Loyal Customers
cust_010430,2017-12-30,244,6,1935.94,Loyal Customers
cust_001031,2017-08-12,384,6,1877.76,At Risk (was frequent)
cust_017155,2017-12-22,252,6,1856.07,Loyal Customers
cust_009100,2017-12-30,244,6,1820.85,Loyal Customers
cust_004004,2017-12-07,267,7,1808.58,Loyal Customers
cust_006946,2017-12-08,266,6,1799.33,Loyal Customers
cust_017082,2017-03-19,530,2,1798.6,At Risk (was frequent)
cust_001510,2018-02-18,194,6,1793.5,Loyal Customers
cust_013643,2017-10-20,315,4,1791.86,Loyal Customers
cust_002459,2017-06-07,450,3,1788.87,At Risk (was frequent)
cust_005188,2017-12-04,270,5,1786.23,Loyal Customers
cust_003393,2017-12-12,262,5,1748.74,Loyal Customers
cust_010738,2018-01-31,212,6,1747.03,Loyal Customers
cust_017546,2017-07-12,415,3,1735.7,At Risk (was frequent)
cust_000640,2017-08-10,386,5,1722.99,At Risk (was frequent)
cust_014185,2017-04-18,500,5,1698.26,At Risk (was frequent)
cust_004886,2018-02-27,185,5,1695.39,Loyal Customers
