product_category_name,items_sold,revenue,total_margin,margin_pct
consoles_games,1024,220640.88,118541.98,53.73
electronics,1223,210420.41,113774.14,54.07
office_furniture,1157,172618.4,90835.46,52.62
air_conditioning,1004,167954.83,90563.63,53.92
home_appliances,1023,163774.61,84531.37,51.61
watches_gifts,1118,143478.83,82470.87,57.48
computers_accessories,1005,143013.54,77718.64,54.34
auto,1068,121811.46,66323.6,54.45
construction_tools,1198,120198.12,65336.73,54.36
perfumery,1047,111124.3,66850.93,60.16
furniture_living_room,867,103881.42,54805.38,52.76
cool_stuff,919,102305.0,58627.53,57.31
industry_commerce_and_business,919,97092.95,49156.35,50.63
fashion_shoes,1056,94471.83,53779.83,56.93
telephony,1219,92403.6,51788.55,56.05
sports_leisure,1231,89415.04,51964.92,58.12
costruction_tools_garden,1054,87231.59,48143.73,55.19
furniture_decor,816,82399.01,43793.55,53.15
small_appliances,953,81653.9,44939.99,55.04
unknown,861,77816.38,43331.78,55.68
pet_shop,1163,74592.34,41893.65,56.16
fashion_bags_accessories,926,73752.73,43085.66,58.42
art,1262,72647.24,42790.35,58.9
baby,1115,72043.34,40695.6,56.49
garden_tools,1186,66395.74,36538.5,55.03
luggage_accessories,971,60905.99,34876.52,57.26
signaling_and_security,685,53918.91,30613.33,56.78
bed_bath_table,686,47283.66,25820.45,54.61
christmas_supplies,1094,46141.92,26270.43,56.93
toys,805,45301.94,25989.7,57.37
music,1299,43104.88,24104.83,55.92
health_beauty,756,42673.74,26003.59,60.94
housewares,931,42628.36,24330.98,57.08
market_place,1094,36085.57,20405.49,56.55
fashion_underwear_beach,776,35618.31,21011.2,58.99
party_supplies,1150,34510.1,19729.13,57.17
books_technical,619,33129.32,19028.43,57.44
stationery,956,30919.82,17559.21,56.79
food_drink,1018,30176.99,16257.93,53.88
diapers_and_hygiene,1055,26348.92,14643.02,55.57
books_general,946,24181.08,13903.56,57.5
cds_dvds_musicals,947,23073.92,13447.85,58.28
