cohort_month,month_index,active_customers,cohort_customers,retention_pct
2016-01,0,564,564,100.0
2016-01,1,14,564,2.48
2016-01,2,27,564,4.79
2016-01,3,19,564,3.37
2016-01,4,18,564,3.19
2016-01,5,18,564,3.19
2016-01,6,25,564,4.43
2016-01,7,25,564,4.43
2016-01,8,22,564,3.9
2016-01,9,30,564,5.32
2016-01,10,47,564,8.33
2016-01,11,19,564,3.37
2016-01,12,26,564,4.61
2016-01,13,19,564,3.37
2016-01,14,19,564,3.37
2016-01,15,27,564,4.79
2016-01,16,23,564,4.08
2016-01,17,26,564,4.61
2016-01,18,27,564,4.79
2016-01,19,17,564,3.01
2016-01,20,24,564,4.26
2016-01,21,21,564,3.72
2016-01,22,37,564,6.56
2016-01,23,34,564,6.03
2016-01,24,22,564,3.9
2016-01,25,20,564,3.55
2016-01,26,29,564,5.14
2016-01,27,16,564,2.84
2016-01,28,25,564,4.43
2016-01,29,33,564,5.85
2016-01,30,27,564,4.79
2016-01,31,21,564,3.72
2016-02,0,565,565,100.0
2016-02,1,11,565,1.95
2016-02,2,18,565,3.19
2016-02,3,22,565,3.89
2016-02,4,19,565,3.36
2016-02,5,14,565,2.48
2016-02,6,23,565,4.07
2016-02,7,14,565,2.48
2016-02,8,21,565,3.72
2016-02,9,34,565,6.02
2016-02,10,39,565,6.9
2016-02,11,18,565,3.19
2016-02,12,11,565,1.95
2016-02,13,19,565,3.36
2016-02,14,18,565,3.19
2016-02,15,24,565,4.25
2016-02,16,20,565,3.54
2016-02,17,14,565,2.48
2016-02,18,22,565,3.89
2016-02,19,24,565,4.25
2016-02,20,24,565,4.25
2016-02,21,35,565,6.19
2016-02,22,26,565,4.6
2016-02,23,21,565,3.72
2016-02,24,16,565,2.83
2016-02,25,25,565,4.42
2016-02,26,30,565,5.31
2016-02,27,22,565,3.89
2016-02,28,22,565,3.89
2016-02,29,24,565,4.25
2016-02,30,26,565,4.6
2016-03,0,675,675,100.0
2016-03,1,24,675,3.56
2016-03,2,22,675,3.26
2016-03,3,20,675,2.96
2016-03,4,24,675,3.56
2016-03,5,18,675,2.67
2016-03,6,19,675,2.81
2016-03,7,26,675,3.85
2016-03,8,44,675,6.52
2016-03,9,31,675,4.59
2016-03,10,16,675,2.37
2016-03,11,21,675,3.11
2016-03,12,14,675,2.07
2016-03,13,18,675,2.67
2016-03,14,34,675,5.04
2016-03,15,25,675,3.7
2016-03,16,20,675,2.96
2016-03,17,40,675,5.93
2016-03,18,26,675,3.85
2016-03,19,23,675,3.41
2016-03,20,57,675,8.44
2016-03,21,42,675,6.22
2016-03,22,26,675,3.85
2016-03,23,18,675,2.67
2016-03,24,28,675,4.15
2016-03,25,31,675,4.59
2016-03,26,27,675,4.0
2016-03,27,19,675,2.81
2016-03,28,26,675,3.85
2016-03,29,23,675,3.41
2016-04,0,662,662,100.0
2016-04,1,15,662,2.27
2016-04,2,26,662,3.93
2016-04,3,28,662,4.23
2016-04,4,23,662,3.47
2016-04,5,27,662,4.08
2016-04,6,23,662,3.47
2016-04,7,42,662,6.34
2016-04,8,32,662,4.83
2016-04,9,23,662,3.47
2016-04,10,21,662,3.17
2016-04,11,21,662,3.17
2016-04,12,30,662,4.53
2016-04,13,19,662,2.87
2016-04,14,22,662,3.32
2016-04,15,24,662,3.63
2016-04,16,36,662,5.44
2016-04,17,22,662,3.32
2016-04,18,30,662,4.53
2016-04,19,52,662,7.85
2016-04,20,43,662,6.5
2016-04,21,22,662,3.32
2016-04,22,20,662,3.02
2016-04,23,27,662,4.08
2016-04,24,34,662,5.14
2016-04,25,28,662,4.23
2016-04,26,28,662,4.23
2016-04,27,31,662,4.68
2016-04,28,25,662,3.78
2016-05,0,702,702,100.0
2016-05,1,24,702,3.42
2016-05,2,13,702,1.85
2016-05,3,15,702,2.14
2016-05,4,21,702,2.99
2016-05,5,27,702,3.85
2016-05,6,35,702,4.99
2016-05,7,31,702,4.42
2016-05,8,19,702,2.71
2016-05,9,22,702,3.13
2016-05,10,24,702,3.42
2016-05,11,26,702,3.7
2016-05,12,24,702,3.42
2016-05,13,21,702,2.99
2016-05,14,24,702,3.42
2016-05,15,29,702,4.13
2016-05,16,34,702,4.84
2016-05,17,28,702,3.99
2016-05,18,43,702,6.13
2016-05,19,24,702,3.42
2016-05,20,22,702,3.13
2016-05,21,21,702,2.99
2016-05,22,24,702,3.42
2016-05,23,29,702,4.13
2016-05,24,22,702,3.13
2016-05,25,22,702,3.13
2016-05,26,27,702,3.85
2016-05,27,20,702,2.85
2016-06,0,613,613,100.0
2016-06,1,18,613,2.94
2016-06,2,25,613,4.08
2016-06,3,11,613,1.79
2016-06,4,16,613,2.61
2016-06,5,29,613,4.73
2016-06,6,13,613,2.12
2016-06,7,21,613,3.43
2016-06,8,11,613,1.79
2016-06,9,18,613,2.94
2016-06,10,18,613,2.94
2016-06,11,13,613,2.12
2016-06,12,15,613,2.45
2016-06,13,13,613,2.12
2016-06,14,20,613,3.26
2016-06,15,16,613,2.61
2016-06,16,19,613,3.1
2016-06,17,29,613,4.73
2016-06,18,19,613,3.1
2016-06,19,19,613,3.1
2016-06,20,20,613,3.26
2016-06,21,11,613,1.79
2016-06,22,18,613,2.94
2016-06,23,22,613,3.59
2016-06,24,24,613,3.92
2016-06,25,19,613,3.1
2016-06,26,17,613,2.77
2016-07,0,677,677,100.0
2016-07,1,23,677,3.4
2016-07,2,18,677,2.66
2016-07,3,21,677,3.1
2016-07,4,32,677,4.73
2016-07,5,26,677,3.84
2016-07,6,12,677,1.77
2016-07,7,12,677,1.77
2016-07,8,25,677,3.69
2016-07,9,18,677,2.66
2016-07,10,27,677,3.99
2016-07,11,15,677,2.22
2016-07,12,15,677,2.22
2016-07,13,19,677,2.81
2016-07,14,26,677,3.84
2016-07,15,19,677,2.81
2016-07,16,41,677,6.06
2016-07,17,30,677,4.43
2016-07,18,17,677,2.51
2016-07,19,17,677,2.51
2016-07,20,21,677,3.1
2016-07,21,21,677,3.1
2016-07,22,18,677,2.66
2016-07,23,25,677,3.69
2016-07,24,26,677,3.84
2016-07,25,18,677,2.66
2016-08,0,623,623,100.0
2016-08,1,23,623,3.69
2016-08,2,20,623,3.21
2016-08,3,34,623,5.46
2016-08,4,14,623,2.25
2016-08,5,13,623,2.09
2016-08,6,15,623,2.41
2016-08,7,22,623,3.53
2016-08,8,15,623,2.41
2016-08,9,28,623,4.49
2016-08,10,14,623,2.25
2016-08,11,13,623,2.09
2016-08,12,22,623,3.53
2016-08,13,17,623,2.73
2016-08,14,16,623,2.57
2016-08,15,34,623,5.46
2016-08,16,26,623,4.17
2016-08,17,12,623,1.93
2016-08,18,20,623,3.21
2016-08,19,16,623,2.57
2016-08,20,26,623,4.17
2016-08,21,20,623,3.21
2016-08,22,17,623,2.73
2016-08,23,23,623,3.69
2016-08,24,22,623,3.53
2016-09,0,625,625,100.0
2016-09,1,13,625,2.08
2016-09,2,30,625,4.8
2016-09,3,20,625,3.2
2016-09,4,13,625,2.08
2016-09,5,12,625,1.92
2016-09,6,17,625,2.72
2016-09,7,22,625,3.52
2016-09,8,14,625,2.24
2016-09,9,23,625,3.68
2016-09,10,24,625,3.84
2016-09,11,20,625,3.2
2016-09,12,15,625,2.4
2016-09,13,16,625,2.56
2016-09,14,32,625,5.12
2016-09,15,32,625,5.12
2016-09,16,14,625,2.24
2016-09,17,12,625,1.92
2016-09,18,20,625,3.2
2016-09,19,19,625,3.04
2016-09,20,15,625,2.4
2016-09,21,18,625,2.88
2016-09,22,30,625,4.8
2016-09,23,24,625,3.84
2016-10,0,627,627,100.0
2016-10,1,40,627,6.38
2016-10,2,20,627,3.19
2016-10,3,16,627,2.55
2016-10,4,19,627,3.03
2016-10,5,21,627,3.35
2016-10,6,22,627,3.51
2016-10,7,23,627,3.67
2016-10,8,14,627,2.23
2016-10,9,18,627,2.87
2016-10,10,21,627,3.35
2016-10,11,18,627,2.87
2016-10,12,26,627,4.15
2016-10,13,32,627,5.1
2016-10,14,23,627,3.67
2016-10,15,13,627,2.07
2016-10,16,16,627,2.55
2016-10,17,19,627,3.03
2016-10,18,17,627,2.71
2016-10,19,27,627,4.31
2016-10,20,22,627,3.51
2016-10,21,22,627,3.51
2016-10,22,12,627,1.91
2016-11,0,1139,1139,100.0
2016-11,1,34,1139,2.99
2016-11,2,22,1139,1.93
2016-11,3,30,1139,2.63
2016-11,4,35,1139,3.07
2016-11,5,34,1139,2.99
2016-11,6,31,1139,2.72
2016-11,7,32,1139,2.81
2016-11,8,38,1139,3.34
2016-11,9,26,1139,2.28
2016-11,10,28,1139,2.46
2016-11,11,39,1139,3.42
2016-11,12,57,1139,5.0
2016-11,13,48,1139,4.21
2016-11,14,39,1139,3.42
2016-11,15,31,1139,2.72
2016-11,16,29,1139,2.55
2016-11,17,38,1139,3.34
2016-11,18,36,1139,3.16
2016-11,19,28,1139,2.46
2016-11,20,43,1139,3.78
2016-11,21,27,1139,2.37
2016-12,0,762,762,100.0
2016-12,1,18,762,2.36
2016-12,2,17,762,2.23
2016-12,3,28,762,3.67
2016-12,4,24,762,3.15
2016-12,5,15,762,1.97
2016-12,6,20,762,2.62
2016-12,7,24,762,3.15
2016-12,8,20,762,2.62
2016-12,9,29,762,3.81
2016-12,10,23,762,3.02
2016-12,11,32,762,4.2
2016-12,12,28,762,3.67
2016-12,13,16,762,2.1
2016-12,14,19,762,2.49
2016-12,15,20,762,2.62
2016-12,16,15,762,1.97
2016-12,17,33,762,4.33
2016-12,18,29,762,3.81
2016-12,19,24,762,3.15
2016-12,20,22,762,2.89
2017-01,0,495,495,100.0
2017-01,1,7,495,1.41
2017-01,2,14,495,2.83
2017-01,3,10,495,2.02
2017-01,4,18,495,3.64
2017-01,5,20,495,4.04
2017-01,6,19,495,3.84
2017-01,7,22,495,4.44
2017-01,8,17,495,3.43
2017-01,9,17,495,3.43
2017-01,10,19,495,3.84
2017-01,11,20,495,4.04
2017-01,12,6,495,1.21
2017-01,13,18,495,3.64
2017-01,14,14,495,2.83
2017-01,15,15,495,3.03
2017-01,16,15,495,3.03
2017-01,17,17,495,3.43
2017-01,18,13,495,2.63
2017-01,19,13,495,2.63
2017-02,0,421,421,100.0
2017-02,1,10,421,2.38
2017-02,2,11,421,2.61
2017-02,3,12,421,2.85
2017-02,4,9,421,2.14
2017-02,5,8,421,1.9
2017-02,6,9,421,2.14
2017-02,7,13,421,3.09
2017-02,8,4,421,0.95
2017-02,9,20,421,4.75
2017-02,10,16,421,3.8
2017-02,11,11,421,2.61
2017-02,12,16,421,3.8
2017-02,13,9,421,2.14
2017-02,14,13,421,3.09
2017-02,15,14,421,3.33
2017-02,16,8,421,1.9
2017-02,17,7,421,1.66
2017-02,18,7,421,1.66
2017-03,0,551,551,100.0
2017-03,1,9,551,1.63
2017-03,2,7,551,1.27
2017-03,3,14,551,2.54
2017-03,4,11,551,2.0
2017-03,5,15,551,2.72
2017-03,6,10,551,1.81
2017-03,7,14,551,2.54
2017-03,8,30,551,5.44
2017-03,9,9,551,1.63
2017-03,10,10,551,1.81
2017-03,11,12,551,2.18
2017-03,12,15,551,2.72
2017-03,13,16,551,2.9
2017-03,14,19,551,3.45
2017-03,15,19,551,3.45
2017-03,16,19,551,3.45
2017-03,17,8,551,1.45
2017-04,0,536,536,100.0
2017-04,1,21,536,3.92
2017-04,2,15,536,2.8
2017-04,3,6,536,1.12
2017-04,4,17,536,3.17
2017-04,5,16,536,2.99
2017-04,6,16,536,2.99
2017-04,7,25,536,4.66
2017-04,8,24,536,4.48
2017-04,9,13,536,2.43
2017-04,10,12,536,2.24
2017-04,11,15,536,2.8
2017-04,12,10,536,1.87
2017-04,13,21,536,3.92
2017-04,14,22,536,4.1
2017-04,15,22,536,4.1
2017-04,16,7,536,1.31
2017-05,0,583,583,100.0
2017-05,1,11,583,1.89
2017-05,2,15,583,2.57
2017-05,3,13,583,2.23
2017-05,4,14,583,2.4
2017-05,5,18,583,3.09
2017-05,6,26,583,4.46
2017-05,7,34,583,5.83
2017-05,8,9,583,1.54
2017-05,9,15,583,2.57
2017-05,10,15,583,2.57
2017-05,11,14,583,2.4
2017-05,12,9,583,1.54
2017-05,13,10,583,1.72
2017-05,14,13,583,2.23
2017-05,15,11,583,1.89
2017-06,0,551,551,100.0
2017-06,1,10,551,1.81
2017-06,2,18,551,3.27
2017-06,3,8,551,1.45
2017-06,4,10,551,1.81
2017-06,5,25,551,4.54
2017-06,6,19,551,3.45
2017-06,7,15,551,2.72
2017-06,8,12,551,2.18
2017-06,9,22,551,3.99
2017-06,10,17,551,3.09
2017-06,11,12,551,2.18
2017-06,12,12,551,2.18
2017-06,13,13,551,2.36
2017-06,14,14,551,2.54
2017-07,0,494,494,100.0
2017-07,1,8,494,1.62
2017-07,2,23,494,4.66
2017-07,3,13,494,2.63
2017-07,4,22,494,4.45
2017-07,5,19,494,3.85
2017-07,6,7,494,1.42
2017-07,7,13,494,2.63
2017-07,8,15,494,3.04
2017-07,9,13,494,2.63
2017-07,10,9,494,1.82
2017-07,11,13,494,2.63
2017-07,12,7,494,1.42
2017-07,13,15,494,3.04
2017-08,0,566,566,100.0
2017-08,1,13,566,2.3
2017-08,2,12,566,2.12
2017-08,3,32,566,5.65
2017-08,4,15,566,2.65
2017-08,5,7,566,1.24
2017-08,6,12,566,2.12
2017-08,7,16,566,2.83
2017-08,8,13,566,2.3
2017-08,9,14,566,2.47
2017-08,10,20,566,3.53
2017-08,11,13,566,2.3
2017-08,12,15,566,2.65
2017-09,0,515,515,100.0
2017-09,1,7,515,1.36
2017-09,2,17,515,3.3
2017-09,3,14,515,2.72
2017-09,4,9,515,1.75
2017-09,5,11,515,2.14
2017-09,6,17,515,3.3
2017-09,7,14,515,2.72
2017-09,8,23,515,4.47
2017-09,9,11,515,2.14
2017-09,10,13,515,2.52
2017-09,11,8,515,1.55
2017-10,0,529,529,100.0
2017-10,1,20,529,3.78
2017-10,2,20,529,3.78
2017-10,3,8,529,1.51
2017-10,4,10,529,1.89
2017-10,5,14,529,2.65
2017-10,6,18,529,3.4
2017-10,7,10,529,1.89
2017-10,8,10,529,1.89
2017-10,9,13,529,2.46
2017-10,10,17,529,3.21
2017-11,0,925,925,100.0
2017-11,1,29,925,3.14
2017-11,2,13,925,1.41
2017-11,3,15,925,1.62
2017-11,4,23,925,2.49
2017-11,5,20,925,2.16
2017-11,6,27,925,2.92
2017-11,7,20,925,2.16
2017-11,8,26,925,2.81
2017-11,9,20,925,2.16
2017-12,0,700,700,100.0
2017-12,1,17,700,2.43
2017-12,2,23,700,3.29
2017-12,3,14,700,2.0
2017-12,4,18,700,2.57
2017-12,5,19,700,2.71
2017-12,6,19,700,2.71
2017-12,7,15,700,2.14
2017-12,8,15,700,2.14
2018-01,0,430,430,100.0
2018-01,1,5,430,1.16
2018-01,2,11,430,2.56
2018-01,3,10,430,2.33
2018-01,4,12,430,2.79
2018-01,5,5,430,1.16
2018-01,6,10,430,2.33
2018-01,7,9,430,2.09
2018-02,0,359,359,100.0
2018-02,1,7,359,1.95
2018-02,2,8,359,2.23
2018-02,3,6,359,1.67
2018-02,4,10,359,2.79
2018-02,5,6,359,1.67
2018-02,6,4,359,1.11
2018-03,0,510,510,100.0
2018-03,1,5,510,0.98
2018-03,2,7,510,1.37
2018-03,3,15,510,2.94
2018-03,4,10,510,1.96
2018-03,5,11,510,2.16
2018-04,0,443,443,100.0
2018-04,1,11,443,2.48
2018-04,2,9,443,2.03
2018-04,3,7,443,1.58
2018-04,4,10,443,2.26
2018-05,0,453,453,100.0
2018-05,1,12,453,2.65
2018-05,2,11,453,2.43
2018-05,3,10,453,2.21
2018-06,0,481,481,100.0
2018-06,1,18,481,3.74
2018-06,2,3,481,0.62
2018-07,0,465,465,100.0
2018-07,1,7,465,1.51
2018-08,0,379,379,100.0
