customer_unique_id,last_order_date,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_score,segment,customer_state
cust_000000,2017-10-11,1,18.36,324,3,1,1,5,Potential Loyalists,SC
cust_000001,2017-10-29,1,32.18,306,3,1,1,5,Potential Loyalists,RS
cust_000002,2018-08-06,3,323.66,25,4,4,4,12,Champions,SP
cust_000003,2017-06-04,2,115.86,453,2,3,3,8,At Risk (was frequent),SP
cust_000004,2016-08-11,1,31.68,750,1,1,1,3,Hibernating / Lost,SP
cust_000005,2018-02-03,1,27.75,209,3,1,1,5,Potential Loyalists,MG
cust_000006,2017-04-21,1,23.36,497,2,1,1,4,Hibernating / Lost,PE
cust_000007,2018-06-03,1,71.92,89,4,1,2,7,Potential Loyalists,SP
cust_000008,2017-08-28,2,373.67,368,2,3,4,9,At Risk (was frequent),SP
cust_000009,2017-08-20,2,535.66,376,2,3,4,9,At Risk (was frequent),RJ
cust_000010,2016-07-04,1,139.34,788,1,1,3,5,Hibernating / Lost,SP
cust_000011,2017-02-06,1,62.96,571,2,1,2,5,Hibernating / Lost,SP
cust_000012,2016-12-20,1,11.4,619,1,1,1,3,Hibernating / Lost,MG
cust_000013,2017-08-25,1,51.11,371,2,1,2,5,Hibernating / Lost,SP
cust_000014,2017-11-29,3,110.33,275,3,4,3,10,Loyal Customers,DF
cust_000015,2018-08-13,1,79.68,18,4,1,2,7,Potential Loyalists,RJ
cust_000016,2017-11-06,1,23.41,298,3,1,1,5,Potential Loyalists,MG
cust_000017,2017-12-21,1,18.89,253,3,1,1,5,Potential Loyalists,SP
cust_000018,2016-02-08,1,19.59,935,1,1,1,3,Hibernating / Lost,SP
cust_000019,2017-09-17,3,316.39,348,2,4,4,10,At Risk (was frequent),RJ
cust_000020,2016-07-28,1,27.24,764,1,1,1,3,Hibernating / Lost,PR
cust_000021,2017-03-02,1,42.67,547,2,1,1,4,Hibernating / Lost,MT
cust_000022,2018-02-04,1,133.28,208,3,1,3,7,Potential Loyalists,SP
cust_000023,2016-01-21,1,79.3,953,1,1,2,4,Hibernating / Lost,RJ
cust_000024,2018-05-24,1,17.19,99,4,1,1,6,Potential Loyalists,MG
cust_000025,2016-09-24,1,0.0,706,1,1,1,3,Hibernating / Lost,SP
cust_000026,2018-06-07,3,626.62,85,4,4,4,12,Champions,BA
cust_000027,2016-08-09,1,20.98,752,1,1,1,3,Hibernating / Lost,SP
cust_000028,2018-04-10,1,56.73,143,4,1,2,7,Potential Loyalists,GO
cust_000029,2017-07-13,1,171.62,414,2,1,3,6,Hibernating / Lost,RJ
cust_000030,2017-02-19,2,187.66,558,2,3,3,8,At Risk (was frequent),SP
cust_000031,2018-01-15,1,26.21,228,3,1,1,5,Potential Loyalists,PR
cust_000032,2017-07-11,2,63.32,416,2,3,2,7,At Risk (was frequent),SP
cust_000033,2018-07-03,1,51.56,59,4,1,2,7,Potential Loyalists,PR
cust_000034,2016-09-11,1,54.41,719,1,1,2,4,Hibernating / Lost,BA
cust_000035,2018-03-07,4,915.11,177,3,4,4,11,Loyal Customers,MG
cust_000036,2017-03-25,2,255.69,524,2,3,4,9,At Risk (was frequent),SP
cust_000037,2017-11-22,2,332.26,282,3,3,4,10,Loyal Customers,RJ
cust_000038,2016-02-24,1,119.53,919,1,1,3,5,Hibernating / Lost,RJ
cust_000039,2018-08-08,1,181.71,23,4,1,3,8,Potential Loyalists,RS
cust_000040,2018-06-10,1,26.47,82,4,1,1,6,Potential Loyalists,MG
cust_000041,2018-01-27,3,293.67,216,3,4,4,11,Loyal Customers,SP
cust_000042,2016-07-19,1,35.28,773,1,1,1,3,Hibernating / Lost,PR
cust_000043,2016-12-18,1,77.95,621,1,1,2,4,Hibernating / Lost,SC
cust_000044,2016-10-27,2,247.98,673,1,3,4,8,At Risk (was frequent),RS
cust_000045,2017-09-04,1,21.42,361,2,1,1,4,Hibernating / Lost,SP
cust_000046,2017-04-06,1,37.73,512,2,1,1,4,Hibernating / Lost,RJ
cust_000047,2017-11-20,2,47.72,284,3,3,2,8,Loyal Customers,RJ
cust_000048,2016-11-01,2,62.99,668,1,3,2,6,At Risk (was frequent),BA
cust_000049,2018-04-16,5,1791.18,137,4,4,4,12,Champions,BA
cust_000050,2017-02-14,1,26.87,563,2,1,1,4,Hibernating / Lost,GO
cust_000051,2016-12-13,1,211.66,626,1,1,3,5,Hibernating / Lost,SP
cust_000052,2018-08-15,1,141.49,16,4,1,3,8,Potential Loyalists,PR
cust_000053,2016-03-08,1,25.65,906,1,1,1,3,Hibernating / Lost,GO
cust_000054,2018-05-11,2,199.52,112,4,3,3,10,Loyal Customers,Unknown
cust_000055,2018-07-16,5,812.23,46,4,4,4,12,Champions,SP
cust_000056,2017-07-17,1,38.12,410,2,1,1,4,Hibernating / Lost,SP
cust_000057,2017-12-29,1,21.82,245,3,1,1,5,Potential Loyalists,MG
cust_000058,2017-05-01,3,170.66,487,2,4,3,9,At Risk (was frequent),SP
cust_000059,2016-05-14,1,62.64,839,1,1,2,4,Hibernating / Lost,SP
cust_000060,2018-06-21,1,49.73,71,4,1,2,7,Potential Loyalists,RJ
cust_000061,2017-10-03,3,648.55,332,3,4,4,11,Loyal Customers,SC
cust_000062,2017-09-29,5,605.95,336,3,4,4,11,Loyal Customers,DF
cust_000063,2018-04-20,2,190.38,133,4,3,3,10,Loyal Customers,PR
cust_000064,2017-01-14,1,98.39,594,2,1,3,6,Hibernating / Lost,PE
cust_000065,2017-08-01,1,51.88,395,2,1,2,5,Hibernating / Lost,MG
cust_000066,2018-02-03,1,56.73,209,3,1,2,6,Potential Loyalists,BA
cust_000067,2017-12-08,1,218.72,266,3,1,3,7,Potential Loyalists,SP
cust_000068,2017-10-03,1,63.32,332,3,1,2,6,Potential Loyalists,DF
cust_000069,2017-11-15,1,18.99,289,3,1,1,5,Potential Loyalists,PE
cust_000070,2017-01-16,3,636.51,592,2,4,4,10,At Risk (was frequent),RS
cust_000071,2016-10-26,2,114.4,674,1,3,3,7,At Risk (was frequent),RJ
cust_000072,2016-08-30,1,35.59,731,1,1,1,3,Hibernating / Lost,SP
cust_000073,2016-06-24,1,99.24,798,1,1,3,5,Hibernating / Lost,SP
cust_000074,2017-03-19,2,380.58,530,2,3,4,9,At Risk (was frequent),SP
cust_000075,2018-05-04,1,92.02,119,4,1,2,7,Potential Loyalists,SP
cust_000076,2016-03-28,1,59.05,886,1,1,2,4,Hibernating / Lost,SP
cust_000077,2017-03-14,1,75.86,535,2,1,2,5,Hibernating / Lost,SP
cust_000078,2016-09-17,1,20.23,713,1,1,1,3,Hibernating / Lost,GO
cust_000079,2018-04-27,2,139.55,126,4,3,3,10,Loyal Customers,MG
cust_000080,2016-08-30,1,23.94,731,1,1,1,3,Hibernating / Lost,DF
cust_000081,2017-06-29,1,28.83,428,2,1,1,4,Hibernating / Lost,RJ
cust_000082,2016-11-27,1,37.89,642,1,1,1,3,Hibernating / Lost,SP
cust_000083,2017-04-26,2,302.72,492,2,3,4,9,At Risk (was frequent),SP
cust_000084,2017-08-21,1,64.26,375,2,1,2,5,Hibernating / Lost,DF
cust_000085,2018-03-08,2,168.41,176,3,3,3,9,Loyal Customers,SP
cust_000086,2017-12-21,1,15.46,253,3,1,1,5,Potential Loyalists,RS
cust_000088,2016-06-19,1,34.4,803,1,1,1,3,Hibernating / Lost,SP
