customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
custid_008674_023170,cust_008674,74950,santos,SP
custid_015220_028362,cust_015220,28518,campinas,SP
custid_010034_019706,cust_010034,53411,sao paulo,SP
custid_009741_003594,cust_009741,29846,florianopolis,SC
custid_001854_017626,cust_001854,51703,contagem,MG
custid_016039_012540,cust_016039,98255,campinas,SP
custid_010436_013529,cust_010436,34241,rio de janeiro,RJ
custid_015812_009464,cust_015812,36470,sorocaba,SP
custid_015386_026191,cust_015386,56610,feira de santana,BA
custid_005962_003752,cust_005962,90138,santos,SP
custid_013581_027606,cust_013581,51271,cuiaba,MT
custid_007175_012320,cust_007175,18364,santos,SP
custid_014429_022044,cust_014429,29767,salvador,BA
custid_016960_010877,cust_016960,3206,campo grande,MS
custid_006678_023356,cust_006678,29178,caxias do sul,RS
custid_007757_004246,cust_007757,78001,campo grande,MS
custid_001938_017176,cust_001938,94587,santos,SP
custid_008360_004156,cust_008360,67210,londrina,PR
custid_012445_028492,cust_012445,64231,niteroi,RJ
custid_006364_023632,cust_006364,98579,sorocaba,SP
custid_016753_029255,cust_016753,81661,sorocaba,SP
custid_002612_015119,cust_002612,52319,fortaleza,CE
custid_007507_014634,cust_007507,28104,uberlandia,MG
custid_015258_002393,cust_015258,99927,joinville,SC
custid_012624_004165,cust_012624,56406,sao paulo,SP
custid_014602_026731,cust_014602,11024,campinas,SP
custid_007256_005982,cust_007256,64771,sao paulo,SP
custid_010647_012051,cust_010647,8669,goiania,GO
custid_006127_000277,cust_006127,15574,duque de caxias,RJ
custid_009640_018729,cust_009640,2675,belem,PA
custid_018501_018840,cust_018501,25707,fortaleza,CE
custid_005951_003068,cust_005951,70687,belem,PA
custid_001002_024198,cust_001002,40205,feira de santana,BA
custid_004090_022474,cust_004090,21977,campinas,SP
custid_015038_019922,cust_015038,28509,curitiba,PR
custid_007964_019780,cust_007964,55062,rio de janeiro,RJ
custid_014708_025928,cust_014708,24159,uberlandia,MG
custid_014185_029841,cust_014185,36132,florianopolis,SC
custid_012292_029896,cust_012292,83159,campinas,SP
custid_004766_012326,cust_004766,41517,sao paulo,SP
custid_018647_005505,cust_018647,79850,campo grande,MS
custid_006008_013024,cust_006008,13065,londrina,PR
