customer_unique_id,customer_city,customer_state,customer_zip_code_prefix
cust_000000,florianopolis,SC,6603
cust_000001,porto alegre,RS,14317
cust_000002,campinas,SP,39244
cust_000003,santos,SP,66989
cust_000004,campinas,SP,44362
cust_000005,belo horizonte,MG,76486
cust_000006,recife,PE,69542
cust_000007,campinas,SP,71243
cust_000008,campinas,SP,91293
cust_000009,duque de caxias,RJ,8960
cust_000010,santos,SP,57878
cust_000011,sao paulo,SP,34835
cust_000012,belo horizonte,MG,76349
cust_000013,sorocaba,SP,80972
cust_000014,brasilia,DF,64705
cust_000015,duque de caxias,RJ,74095
cust_000016,contagem,MG,91079
cust_000017,santos,SP,56081
cust_000018,sorocaba,SP,81266
cust_000019,niteroi,RJ,11357
cust_000020,londrina,PR,25483
cust_000021,cuiaba,MT,90874
cust_000022,sorocaba,SP,23007
cust_000023,niteroi,RJ,1933
cust_000024,belo horizonte,MG,91276
cust_000025,sorocaba,SP,36467
cust_000026,feira de santana,BA,60146
cust_000027,campinas,SP,77294
cust_000028,goiania,GO,45511
cust_000029,duque de caxias,RJ,3026
cust_000030,sao paulo,SP,70313
cust_000031,londrina,PR,65684
cust_000032,sao paulo,SP,28889
cust_000033,curitiba,PR,66256
cust_000034,salvador,BA,81050
cust_000035,belo horizonte,MG,98238
cust_000036,sao paulo,SP,53245
cust_000037,niteroi,RJ,7598
cust_000038,niteroi,RJ,87226
cust_000039,porto alegre,RS,43979
cust_000040,contagem,MG,64725
cust_000041,santos,SP,88881
cust_000042,curitiba,PR,26761
cust_000043,florianopolis,SC,1361
cust_000044,caxias do sul,RS,96579
cust_000045,campinas,SP,16941
cust_000046,duque de caxias,RJ,40840
cust_000047,duque de caxias,RJ,79214
cust_000048,feira de santana,BA,76826
cust_000049,salvador,BA,17345
cust_000050,goiania,GO,26297
cust_000051,sorocaba,SP,69181
cust_000052,londrina,PR,42290
cust_000053,goiania,GO,50851
cust_000054,sorocaba,Unknown,74089
cust_000055,santos,SP,86178
cust_000056,sao paulo,SP,69928
cust_000057,uberlandia,MG,18106
cust_000058,campinas,SP,93959
cust_000059,campinas,SP,56714
cust_000060,niteroi,RJ,79983
cust_000061,joinville,SC,61645
cust_000062,brasilia,DF,33093
cust_000063,curitiba,PR,65421
cust_000064,recife,PE,86465
cust_000065,uberlandia,MG,82694
cust_000066,salvador,BA,92184
cust_000067,santos,SP,6379
cust_000068,brasilia,DF,95454
cust_000069,recife,PE,33381
cust_000070,porto alegre,RS,90144
cust_000071,duque de caxias,RJ,53199
cust_000072,sorocaba,SP,69840
cust_000073,campinas,SP,78436
cust_000074,campinas,SP,79784
cust_000075,sorocaba,SP,32655
cust_000076,sorocaba,SP,65136
cust_000077,sorocaba,SP,56899
cust_000078,goiania,GO,32651
cust_000079,belo horizonte,MG,4742
cust_000080,brasilia,DF,81792
cust_000081,rio de janeiro,RJ,42850
cust_000082,santos,SP,23529
cust_000083,campinas,SP,34352
cust_000084,brasilia,DF,43698
cust_000085,campinas,SP,99561
cust_000086,porto alegre,RS,35006
cust_000087,sorocaba,SP,14195
cust_000088,sao paulo,SP,18042
cust_000089,santos,SP,91953
cust_000090,duque de caxias,RJ,80091
cust_000091,sao paulo,SP,1349
cust_000092,brasilia,DF,47720
cust_000093,santos,SP,27662
