date_key,year,month_number,month_name,day_name,week_of_year,is_weekend,quarter
2016-01-01,2016,1,January,Friday,53,False,1
2016-01-02,2016,1,January,Saturday,53,True,1
2016-01-03,2016,1,January,Sunday,53,True,1
2016-01-04,2016,1,January,Monday,1,False,1
2016-01-05,2016,1,January,Tuesday,1,False,1
2016-01-06,2016,1,January,Wednesday,1,False,1
2016-01-07,2016,1,January,Thursday,1,False,1
2016-01-08,2016,1,January,Friday,1,False,1
2016-01-09,2016,1,January,Saturday,1,True,1
2016-01-10,2016,1,January,Sunday,1,True,1
2016-01-11,2016,1,January,Monday,2,False,1
2016-01-12,2016,1,January,Tuesday,2,False,1
2016-01-13,2016,1,January,Wednesday,2,False,1
2016-01-14,2016,1,January,Thursday,2,False,1
2016-01-15,2016,1,January,Friday,2,False,1
2016-01-16,2016,1,January,Saturday,2,True,1
2016-01-17,2016,1,January,Sunday,2,True,1
2016-01-18,2016,1,January,Monday,3,False,1
2016-01-19,2016,1,January,Tuesday,3,False,1
2016-01-20,2016,1,January,Wednesday,3,False,1
2016-01-21,2016,1,January,Thursday,3,False,1
2016-01-22,2016,1,January,Friday,3,False,1
2016-01-23,2016,1,January,Saturday,3,True,1
2016-01-24,2016,1,January,Sunday,3,True,1
2016-01-25,2016,1,January,Monday,4,False,1
2016-01-26,2016,1,January,Tuesday,4,False,1
2016-01-27,2016,1,January,Wednesday,4,False,1
2016-01-28,2016,1,January,Thursday,4,False,1
2016-01-29,2016,1,January,Friday,4,False,1
2016-01-30,2016,1,January,Saturday,4,True,1
2016-01-31,2016,1,January,Sunday,4,True,1
2016-02-01,2016,2,February,Monday,5,False,1
2016-02-02,2016,2,February,Tuesday,5,False,1
2016-02-03,2016,2,February,Wednesday,5,False,1
2016-02-04,2016,2,February,Thursday,5,False,1
2016-02-05,2016,2,February,Friday,5,False,1
2016-02-06,2016,2,February,Saturday,5,True,1
2016-02-07,2016,2,February,Sunday,5,True,1
2016-02-08,2016,2,February,Monday,6,False,1
2016-02-09,2016,2,February,Tuesday,6,False,1
2016-02-10,2016,2,February,Wednesday,6,False,1
2016-02-11,2016,2,February,Thursday,6,False,1
2016-02-12,2016,2,February,Friday,6,False,1
2016-02-13,2016,2,February,Saturday,6,True,1
2016-02-14,2016,2,February,Sunday,6,True,1
2016-02-15,2016,2,February,Monday,7,False,1
2016-02-16,2016,2,February,Tuesday,7,False,1
2016-02-17,2016,2,February,Wednesday,7,False,1
2016-02-18,2016,2,February,Thursday,7,False,1
2016-02-19,2016,2,February,Friday,7,False,1
2016-02-20,2016,2,February,Saturday,7,True,1
2016-02-21,2016,2,February,Sunday,7,True,1
2016-02-22,2016,2,February,Monday,8,False,1
2016-02-23,2016,2,February,Tuesday,8,False,1
2016-02-24,2016,2,February,Wednesday,8,False,1
2016-02-25,2016,2,February,Thursday,8,False,1
2016-02-26,2016,2,February,Friday,8,False,1
2016-02-27,2016,2,February,Saturday,8,True,1
2016-02-28,2016,2,February,Sunday,8,True,1
2016-02-29,2016,2,February,Monday,9,False,1
2016-03-01,2016,3,March,Tuesday,9,False,1
2016-03-02,2016,3,March,Wednesday,9,False,1
2016-03-03,2016,3,March,Thursday,9,False,1
2016-03-04,2016,3,March,Friday,9,False,1
2016-03-05,2016,3,March,Saturday,9,True,1
2016-03-06,2016,3,March,Sunday,9,True,1
2016-03-07,2016,3,March,Monday,10,False,1
2016-03-08,2016,3,March,Tuesday,10,False,1
2016-03-09,2016,3,March,Wednesday,10,False,1
2016-03-10,2016,3,March,Thursday,10,False,1
2016-03-11,2016,3,March,Friday,10,False,1
2016-03-12,2016,3,March,Saturday,10,True,1
2016-03-13,2016,3,March,Sunday,10,True,1
2016-03-14,2016,3,March,Monday,11,False,1
2016-03-15,2016,3,March,Tuesday,11,False,1
2016-03-16,2016,3,March,Wednesday,11,False,1
2016-03-17,2016,3,March,Thursday,11,False,1
2016-03-18,2016,3,March,Friday,11,False,1
2016-03-19,2016,3,March,Saturday,11,True,1
2016-03-20,2016,3,March,Sunday,11,True,1
2016-03-21,2016,3,March,Monday,12,False,1
2016-03-22,2016,3,March,Tuesday,12,False,1
2016-03-23,2016,3,March,Wednesday,12,False,1
2016-03-24,2016,3,March,Thursday,12,False,1
2016-03-25,2016,3,March,Friday,12,False,1
2016-03-26,2016,3,March,Saturday,12,True,1
2016-03-27,2016,3,March,Sunday,12,True,1
2016-03-28,2016,3,March,Monday,13,False,1
2016-03-29,2016,3,March,Tuesday,13,False,1
2016-03-30,2016,3,March,Wednesday,13,False,1
2016-03-31,2016,3,March,Thursday,13,False,1
2016-04-01,2016,4,April,Friday,13,False,2
2016-04-02,2016,4,April,Saturday,13,True,2
2016-04-03,2016,4,April,Sunday,13,True,2
2016-04-04,2016,4,April,Monday,14,False,2
2016-04-05,2016,4,April,Tuesday,14,False,2
2016-04-06,2016,4,April,Wednesday,14,False,2
2016-04-07,2016,4,April,Thursday,14,False,2
2016-04-08,2016,4,April,Friday,14,False,2
2016-04-09,2016,4,April,Saturday,14,True,2
2016-04-10,2016,4,April,Sunday,14,True,2
2016-04-11,2016,4,April,Monday,15,False,2
2016-04-12,2016,4,April,Tuesday,15,False,2
2016-04-13,2016,4,April,Wednesday,15,False,2
2016-04-14,2016,4,April,Thursday,15,False,2
2016-04-15,2016,4,April,Friday,15,False,2
2016-04-16,2016,4,April,Saturday,15,True,2
2016-04-17,2016,4,April,Sunday,15,True,2
2016-04-18,2016,4,April,Monday,16,False,2
2016-04-19,2016,4,April,Tuesday,16,False,2
2016-04-20,2016,4,April,Wednesday,16,False,2
2016-04-21,2016,4,April,Thursday,16,False,2
2016-04-22,2016,4,April,Friday,16,False,2
2016-04-23,2016,4,April,Saturday,16,True,2
2016-04-24,2016,4,April,Sunday,16,True,2
2016-04-25,2016,4,April,Monday,17,False,2
2016-04-26,2016,4,April,Tuesday,17,False,2
2016-04-27,2016,4,April,Wednesday,17,False,2
