product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_cost
prod_00000,home_appliances,2362,93.5,3.9,47.5,71.18
prod_00001,food_drink,2513,14.0,9.6,36.6,13.85
prod_00002,diapers_and_hygiene,387,27.8,35.4,11.6,19.8
prod_00003,watches_gifts,468,39.4,7.0,25.2,19.33
prod_00004,watches_gifts,1962,38.2,21.8,60.6,28.8
prod_00005,stationery,839,25.8,10.6,33.6,28.17
prod_00006,small_appliances,2769,11.1,13.3,26.4,9.83
prod_00007,diapers_and_hygiene,3300,15.3,4.3,15.0,9.57
prod_00008,garden_tools,400,33.3,11.3,15.0,40.05
prod_00009,watches_gifts,582,9.2,15.3,38.0,79.94
prod_00010,cool_stuff,1254,40.7,13.0,15.7,49.86
prod_00011,industry_commerce_and_business,97,52.4,11.8,30.8,71.21
prod_00012,health_beauty,178,44.2,18.5,24.9,9.43
prod_00013,stationery,523,48.5,5.2,29.9,25.5
prod_00014,computers_accessories,4070,9.4,15.8,23.8,23.43
prod_00015,watches_gifts,1403,26.3,2.4,32.9,20.91
prod_00016,christmas_supplies,670,17.5,25.3,41.4,17.45
prod_00017,bed_bath_table,464,12.3,12.0,24.0,18.82
prod_00018,perfumery,382,23.5,20.9,39.6,38.57
prod_00019,christmas_supplies,713,61.2,2.0,50.4,16.77
prod_00020,fashion_underwear_beach,678,69.3,19.2,30.7,39.44
prod_00021,sports_leisure,966,18.7,7.9,37.5,32.79
prod_00022,home_appliances,1662,31.2,13.4,13.3,46.06
prod_00023,diapers_and_hygiene,1088,36.6,19.4,24.2,14.01
prod_00024,electronics,2045,26.4,12.6,10.8,36.15
prod_00025,office_furniture,911,54.2,18.1,19.9,85.4
prod_00026,office_furniture,3470,23.7,10.7,24.4,52.74
prod_00027,books_general,2010,21.6,26.5,63.2,12.21
prod_00028,telephony,1374,19.3,12.0,17.4,10.98
prod_00029,food_drink,1666,26.3,12.2,25.8,6.11
prod_00030,art,730,5.4,12.3,15.8,7.49
prod_00031,housewares,953,26.9,13.2,23.4,44.98
prod_00032,luggage_accessories,924,32.2,5.4,33.1,16.63
prod_00033,luggage_accessories,602,33.2,6.9,35.8,38.87
prod_00034,music,319,16.9,22.7,21.8,9.48
prod_00035,stationery,1732,32.9,20.9,18.8,9.91
prod_00036,home_appliances,2274,32.6,20.2,5.0,60.45
prod_00037,food_drink,1558,32.9,17.1,53.7,28.25
prod_00038,unknown,1086,44.7,9.5,20.9,59.55
prod_00039,luggage_accessories,4529,16.5,8.8,7.4,32.28
prod_00040,christmas_supplies,662,26.5,12.8,46.9,27.56
prod_00041,books_general,1409,10.7,24.8,8.5,7.29
prod_00042,perfumery,2504,42.6,14.8,46.9,63.94
prod_00043,small_appliances,423,17.9,6.6,11.0,49.17
prod_00044,sports_leisure,1828,48.0,4.6,12.3,43.88
prod_00045,party_supplies,3622,48.8,21.3,14.1,11.12
prod_00046,fashion_bags_accessories,1157,27.9,29.3,20.1,19.94
prod_00047,sports_leisure,1317,27.1,3.7,47.1,14.58
prod_00048,air_conditioning,666,13.3,21.7,14.4,40.46
prod_00049,market_place,1653,30.7,16.9,33.1,7.81
prod_00050,pet_shop,588,44.5,7.7,29.5,31.03
prod_00051,sports_leisure,1105,35.0,14.9,27.0,21.75
prod_00052,music,278,57.4,5.9,42.9,14.65
prod_00053,market_place,50,25.0,11.4,28.2,18.28
prod_00054,air_conditioning,786,24.9,13.3,29.3,40.98
prod_00055,luggage_accessories,775,18.6,26.3,37.3,15.1
prod_00056,unknown,843,75.6,11.1,20.4,20.78
prod_00057,garden_tools,1967,13.2,8.3,25.9,14.55
prod_00058,christmas_supplies,2319,42.9,16.1,30.7,8.77
prod_00059,office_furniture,1454,44.9,18.4,40.8,147.02
prod_00060,consoles_games,1871,44.0,8.1,24.2,31.88
prod_00061,baby,604,19.5,6.5,25.7,75.44
prod_00062,market_place,479,14.6,6.9,32.7,15.8
prod_00063,music,1677,27.9,26.4,24.5,19.15
prod_00064,unknown,418,39.9,17.9,17.6,41.46
prod_00065,small_appliances,373,21.9,10.6,37.3,42.31
prod_00066,art,6123,25.9,23.9,28.2,37.52
prod_00067,baby,1216,22.1,8.1,21.3,12.43
prod_00068,baby,776,31.8,12.5,14.1,23.01
prod_00069,unknown,702,30.7,5.8,8.6,21.07
prod_00070,sports_leisure,287,62.4,23.3,33.6,10.93
prod_00071,electronics,1431,40.3,7.6,17.4,43.37
prod_00072,construction_tools,909,15.0,7.8,10.6,114.29
prod_00073,air_conditioning,2273,15.7,16.3,16.3,66.21
prod_00074,housewares,1715,43.3,2.2,30.6,49.08
prod_00075,consoles_games,884,30.6,4.9,17.3,238.15
prod_00076,watches_gifts,137,73.4,19.8,30.9,222.42
prod_00077,air_conditioning,1218,73.3,6.8,19.3,208.38
prod_00078,pet_shop,1136,18.6,43.3,25.8,90.28
prod_00079,furniture_living_room,102,35.2,14.5,27.0,54.98
prod_00080,electronics,1575,15.8,3.5,36.3,79.74
prod_00081,watches_gifts,404,42.9,2.0,36.9,45.89
prod_00082,christmas_supplies,2356,66.8,30.1,26.3,13.97
prod_00083,market_place,1083,32.8,14.5,15.4,13.15
prod_00084,unknown,685,24.5,11.6,45.1,47.33
prod_00085,electronics,1352,37.0,14.4,21.0,53.66
prod_00086,cds_dvds_musicals,1290,47.3,3.5,5.7,5.91
prod_00087,cds_dvds_musicals,1254,47.4,12.8,30.0,10.4
prod_00088,construction_tools,2144,24.6,7.1,30.6,24.39
prod_00089,toys,1414,21.6,12.3,21.5,14.09
prod_00090,books_general,633,34.3,9.6,11.0,9.21
prod_00091,market_place,932,25.5,14.0,9.7,9.86
prod_00092,fashion_underwear_beach,2946,54.2,10.6,22.3,27.36
prod_00093,sports_leisure,584,25.3,9.2,14.6,25.44
prod_00094,home_appliances,1556,31.6,6.6,40.7,129.89
prod_00095,pet_shop,2199,36.6,3.6,21.9,27.6
prod_00096,party_supplies,1667,13.5,3.0,20.5,11.88
prod_00097,office_furniture,1224,22.5,5.1,59.9,58.43
prod_00098,fashion_bags_accessories,1372,71.8,18.9,6.3,12.89
prod_00099,small_appliances,1744,46.3,6.3,25.7,36.92
prod_00100,telephony,578,25.2,8.3,8.8,56.12
prod_00101,furniture_decor,1142,43.0,8.3,47.5,62.25
prod_00102,books_general,4512,53.8,9.7,10.4,6.35
prod_00103,art,1591,27.2,17.0,31.3,7.57
prod_00104,food_drink,1257,45.2,10.6,29.0,8.48
prod_00105,fashion_shoes,857,42.1,21.0,8.7,73.48
prod_00106,health_beauty,583,15.9,5.1,31.4,19.05
prod_00107,art,1406,27.3,19.7,19.3,11.43
prod_00108,construction_tools,1479,63.2,28.1,34.4,16.81
prod_00109,baby,1083,70.8,12.7,18.6,15.5
prod_00110,signaling_and_security,5713,46.5,6.0,31.4,23.48
prod_00111,music,630,22.1,17.2,24.4,18.81
prod_00112,music,505,7.7,12.8,31.4,19.18
prod_00113,baby,867,20.6,15.5,34.1,14.26
prod_00114,art,1110,14.7,21.3,23.0,26.06
prod_00115,construction_tools,557,65.5,10.0,21.1,54.81
prod_00116,office_furniture,1381,10.5,9.0,33.7,25.7
prod_00117,music,1494,16.2,48.2,19.4,11.01
prod_00118,books_general,1892,33.9,17.4,23.3,11.35
prod_00119,telephony,756,30.5,23.5,52.0,33.55
prod_00120,toys,2782,61.7,20.6,25.9,8.09
prod_00121,fashion_bags_accessories,1803,40.8,23.7,36.9,29.4
prod_00122,party_supplies,619,28.3,15.8,17.9,17.32
