order_id,order_item_id,product_id,seller_id,price,freight_value,item_cost,item_margin
order_005089,2,prod_01793,seller_00302,129.0,13.79,85.09,43.91
order_004920,1,prod_01019,seller_00116,47.46,16.29,46.19,1.27
order_023886,1,prod_01362,seller_00006,202.65,24.9,50.04,152.61
order_001494,2,prod_01290,seller_00082,97.86,14.43,72.59,25.27
order_013918,1,prod_00121,seller_00475,53.4,22.15,29.4,24.0
order_025392,1,prod_01134,seller_00345,274.64,26.53,60.18,214.46
order_004401,1,prod_01333,seller_00298,43.9,8.34,27.92,15.98
order_028481,3,prod_00759,seller_00133,18.17,7.85,9.63,8.54
order_010683,1,prod_01174,seller_00083,59.91,8.48,34.34,25.57
order_024445,3,prod_00789,seller_00384,47.09,11.6,31.08,16.01
order_028783,3,prod_00955,seller_00359,11.02,6.5,13.12,-2.1
order_002304,1,prod_01923,seller_00406,118.39,21.25,72.86,45.53
order_029892,1,prod_00829,seller_00441,25.49,7.46,21.24,4.25
order_023055,1,prod_00146,seller_00299,15.07,9.55,6.53,8.54
order_021479,1,prod_01512,seller_00495,35.45,15.77,12.18,23.27
order_021477,1,prod_01277,seller_00267,144.32,29.89,81.51,62.81
order_019347,2,prod_00339,seller_00006,95.71,16.79,38.08,57.63
order_025830,1,prod_00516,seller_00293,93.78,16.94,27.76,66.02
order_023529,1,prod_00255,seller_00222,10.36,7.28,12.41,-2.05
order_006077,1,prod_00136,seller_00018,20.03,17.86,11.64,8.39
order_002709,2,prod_00270,seller_00011,48.18,13.5,24.68,23.5
order_005419,1,prod_00709,seller_00348,35.84,10.66,24.0,11.84
order_004515,1,prod_00210,seller_00282,62.73,16.27,67.74,-5.01
order_023765,2,prod_00861,seller_00012,12.34,9.63,8.69,3.65
order_021580,1,prod_00079,seller_00146,95.31,25.2,54.98,40.33
order_026150,1,prod_00682,seller_00309,53.32,13.99,31.47,21.85
order_000957,2,prod_01826,seller_00492,171.2,27.23,65.06,106.14
order_005516,2,prod_01914,seller_00076,100.35,22.72,65.74,34.61
order_021072,1,prod_00447,seller_00083,27.4,11.95,25.0,2.4
order_010357,1,prod_00782,seller_00095,264.68,35.67,95.7,168.98
order_014554,1,prod_01305,seller_00071,21.61,6.5,15.14,6.47
order_012963,1,prod_01314,seller_00173,15.94,6.5,18.03,-2.09
order_009407,1,prod_00527,seller_00084,80.93,17.5,104.81,-23.88
order_015441,1,prod_00680,seller_00331,18.23,9.63,7.72,10.51
order_006952,1,prod_01414,seller_00206,46.39,13.96,9.12,37.27
order_020350,1,prod_00887,seller_00266,122.73,14.45,35.55,87.18
order_025281,2,prod_00209,seller_00271,103.47,23.5,42.19,61.28
order_003474,1,prod_01119,seller_00033,70.67,25.01,27.19,43.48
order_025151,3,prod_01027,seller_00204,19.59,8.08,15.25,4.34
order_023977,1,prod_00667,seller_00463,42.67,14.41,9.03,33.64
order_025510,1,prod_00074,seller_00266,67.04,15.42,49.08,17.96
order_011077,2,prod_00984,seller_00398,95.82,16.79,81.18,14.64
order_024068,1,prod_00935,seller_00069,43.65,15.16,35.32,8.33
order_016190,1,prod_01136,seller_00384,25.02,9.8,11.82,13.2
order_016012,1,prod_01473,seller_00485,51.1,13.32,36.9,14.2
order_009797,1,prod_00310,seller_00070,41.89,15.76,11.59,30.3
order_001214,1,prod_01710,seller_00234,44.79,14.55,16.83,27.96
order_028371,1,prod_00078,seller_00390,234.86,49.26,90.28,144.58
order_017102,4,prod_00540,seller_00335,330.49,63.32,76.0,254.49
order_004170,1,prod_00534,seller_00492,41.35,10.19,28.78,12.57
order_006020,1,prod_01279,seller_00435,10.25,6.5,6.44,3.81
order_005074,1,prod_01662,seller_00411,39.56,13.5,39.58,-0.02
order_008746,1,prod_01533,seller_00009,95.17,21.65,31.83,63.34
order_000235,1,prod_00507,seller_00457,5.57,6.5,8.09,-2.52
order_021055,1,prod_00526,seller_00273,14.22,7.83,10.56,3.66
order_021613,1,prod_01861,seller_00314,25.16,14.5,30.76,-5.6
order_027880,1,prod_01502,seller_00449,162.84,33.13,64.29,98.55
order_026800,1,prod_00694,seller_00047,35.74,11.44,20.98,14.76
