order_id,customer_unique_id,order_status,order_purchase_timestamp,order_purchase_date,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_delay_days,order_value
order_011408,cust_012148,delivered,2018-06-06 10:24:00,2018-06-06,2018-06-06 13:04:14.913134407,2018-06-08 05:02:25.270362393,2018-06-23 16:31:59.000000000,2018-06-21 10:24:00,2.2555439814814813,56.35
order_004534,cust_012997,delivered,2017-09-05 23:17:00,2017-09-05,2017-09-06 07:12:46.000000000,2017-09-07 11:23:54.780613530,2017-09-13 04:56:49.892208484,2017-09-10 23:17:00,2.2359941227833797,17.21
order_005715,cust_017546,delivered,2017-01-17 13:01:00,2017-01-17,2017-01-17 18:58:55.961487788,2017-01-19 23:52:20.628166569,2017-01-28 02:30:41.090019125,2017-01-29 13:01:00,-1.4377188655193867,1194.1599999999999
order_001610,cust_013301,delivered,2017-07-20 15:10:00,2017-07-20,2017-07-21 01:34:53.044381033,2017-07-22 01:00:20.780203121,2017-07-31 11:51:45.242717422,2017-07-31 15:10:00,-0.1376708018816898,24.8
order_013225,cust_011541,delivered,2018-03-13 00:01:00,2018-03-13,2018-03-13 04:29:37.000000000,2018-03-13 12:27:40.000000000,2018-03-26 06:15:08.000000000,2018-03-24 00:01:00,2.2598148148148147,62.730000000000004
order_016328,cust_005603,delivered,2018-02-03 09:06:00,2018-02-03,2018-02-03 09:43:15.433095540,2018-02-03 22:18:11.000000000,2018-02-16 09:27:50.906815776,2018-02-18 09:06:00,-1.9848274674100002,0.0
order_008980,cust_010494,delivered,2017-07-23 20:04:00,2017-07-23,2017-07-23 22:53:45.316456291,2017-07-29 11:08:15.000000000,2017-08-04 19:38:59.807698051,2017-08-02 20:04:00,1.9826366631718866,738.4799999999999
order_005879,cust_002370,canceled,2018-03-08 17:52:00,2018-03-08,2018-03-09 01:50:33.615149530,,,2018-03-21 17:52:00,,119.6
order_029780,cust_012964,delivered,2017-05-14 20:54:00,2017-05-14,2017-05-15 01:39:23.000000000,2017-05-15 07:34:08.455024258,2017-05-24 16:22:21.169130828,2017-05-25 20:54:00,-1.188643875800602,20.73
order_006206,cust_000849,delivered,2017-10-03 21:25:00,2017-10-03,2017-10-03 23:37:49.683320053,2017-10-05 06:22:28.000000000,2017-10-16 16:31:20.449975553,2017-10-14 21:25:00,1.7960700228651967,45.32
order_028379,cust_000835,delivered,2017-11-15 15:14:00,2017-11-15,2017-11-15 21:39:23.832296346,2017-11-18 19:31:26.650184470,2017-12-17 16:30:37.303564563,2017-12-09 15:14:00,8.053209531997258,74.84
order_023916,cust_013961,delivered,2018-04-15 09:20:00,2018-04-15,2018-04-15 13:33:41.892962721,2018-04-15 23:47:23.000000000,2018-04-23 08:06:30.472001637,2018-04-26 09:20:00,-3.0510362036847574,43.35
order_016290,cust_009976,delivered,2016-04-05 17:16:00,2016-04-05,2016-04-05 21:22:13.000000000,2016-04-06 13:31:59.000000000,2016-04-15 23:43:16.570524474,2016-04-15 17:16:00,0.26894178847770833,241.84
order_014880,cust_011162,delivered,2016-02-22 07:55:00,2016-02-22,2016-02-22 12:56:24.270493951,2016-02-23 19:07:53.034134124,2016-03-03 16:47:33.730502952,2016-03-05 07:55:00,-1.6301651562158332,77.78
order_024161,cust_006232,delivered,2017-12-05 10:15:00,2017-12-05,2017-12-05 17:12:32.254734376,2017-12-06 11:38:08.000000000,2017-12-20 04:04:10.000000000,2017-12-18 10:15:00,1.7424768518518519,40.64
