order_id,payment_sequential,payment_type,payment_installments,payment_value
order_000000,1,credit_card,2,195.4
order_000001,1,boleto,1,272.4
order_000002,1,credit_card,2,47.06
order_000003,1,voucher,1,7.4
order_000003,2,credit_card,10,24.67
order_000004,1,credit_card,1,150.8
order_000005,1,credit_card,1,20.24
order_000006,1,boleto,1,56.74
order_000007,1,credit_card,6,64.09
order_000008,1,credit_card,2,67.11
order_000009,1,credit_card,1,84.59
order_000010,1,credit_card,2,28.63
order_000011,1,debit_card,1,117.33
order_000012,1,credit_card,6,90.16
order_000013,1,credit_card,10,19.03
order_000014,1,credit_card,12,32.59
order_000015,1,credit_card,1,119.31
order_000016,1,debit_card,1,23.64
order_000017,1,boleto,1,357.55
order_000018,1,credit_card,6,121.92
order_000019,1,credit_card,1,205.68
order_000020,1,boleto,1,94.82
order_000021,1,credit_card,10,118.41
order_000022,1,credit_card,1,350.69
order_000023,1,voucher,1,26.22
order_000023,2,credit_card,6,186.57
order_000024,1,boleto,1,24.56
order_000025,1,credit_card,6,161.39
order_000026,1,credit_card,3,162.66
order_000027,1,credit_card,1,21.99
order_000028,1,boleto,1,42.51
order_000029,1,credit_card,1,32.27
order_000030,1,credit_card,1,21.09
order_000031,1,credit_card,1,39.67
order_000032,1,voucher,1,12.24
order_000032,2,credit_card,1,101.8
order_000033,1,boleto,1,212.56
order_000034,1,boleto,1,249.63
order_000035,1,credit_card,3,196.25
order_000036,1,credit_card,1,23.82
order_000037,1,debit_card,1,56.34
order_000038,1,boleto,1,135.87
order_000039,1,credit_card,6,232.55
order_000040,1,credit_card,3,18.19
order_000041,1,credit_card,6,119.64
order_000042,1,boleto,1,172.2
order_000043,1,credit_card,1,107.05
order_000044,1,credit_card,10,33.94
order_000045,1,credit_card,3,65.51
order_000046,1,voucher,1,7.72
order_000046,2,credit_card,2,18.95
order_000047,1,credit_card,1,110.99
order_000048,1,credit_card,6,48.04
order_000049,1,credit_card,10,556.06
order_000050,1,credit_card,1,36.31
order_000051,1,credit_card,3,41.36
order_000052,1,voucher,1,54.54
order_000053,1,credit_card,10,35.68
order_000054,1,credit_card,10,27.68
order_000055,1,credit_card,6,20.82
order_000056,1,credit_card,3,33.08
order_000057,1,boleto,1,75.51
order_000058,1,voucher,1,137.92
order_000059,1,credit_card,6,513.24
order_000060,1,debit_card,1,95.43
order_000061,1,credit_card,6,175.47
order_000062,1,credit_card,1,64.08
order_000063,1,boleto,1,53.38
order_000064,1,credit_card,1,266.37
order_000065,1,boleto,1,52.79
order_000066,1,credit_card,3,33.15
order_000067,1,credit_card,10,57.13
order_000068,1,boleto,1,162.37
order_000069,1,credit_card,3,71.13
order_000070,1,credit_card,3,14.98
order_000071,1,credit_card,6,146.23
order_000072,1,boleto,1,17.68
order_000073,1,credit_card,12,72.39
order_000074,1,credit_card,12,75.37
order_000075,1,credit_card,12,118.73
order_000076,1,credit_card,1,47.59
order_000077,1,debit_card,1,644.27
order_000078,1,credit_card,1,47.19
order_000079,1,credit_card,10,83.32
order_000080,1,credit_card,6,102.81
order_000081,1,voucher,1,42.07
order_000082,1,credit_card,2,103.77
order_000083,1,voucher,1,10.11
order_000083,2,credit_card,2,41.07
order_000084,1,credit_card,3,142.3
order_000085,1,boleto,1,61.46
order_000086,1,credit_card,1,193.23
order_000087,1,credit_card,2,93.01
order_000088,1,credit_card,1,95.66
order_000089,1,boleto,1,13.61
order_000090,1,credit_card,2,16.15
order_000091,1,credit_card,1,99.7
order_000092,1,credit_card,2,164.88
order_000093,1,boleto,1,29.58
order_000094,1,credit_card,1,52.82
order_000095,1,boleto,1,840.41
order_000096,1,voucher,1,95.44
order_000097,1,boleto,1,145.14
order_000098,1,voucher,1,67.45
order_000098,2,credit_card,6,267.99
order_000099,1,credit_card,2,257.69
order_000100,1,credit_card,2,376.73
order_000101,1,voucher,1,4.4
order_000101,2,credit_card,3,32.85
order_000102,1,boleto,1,172.25
order_000103,1,voucher,1,12.15
order_000103,2,boleto,1,77.99
order_000104,1,credit_card,2,1767.34
order_000105,1,debit_card,1,156.74
order_000106,1,credit_card,1,102.7
order_000107,1,credit_card,10,36.14
order_000108,1,credit_card,2,41.39
order_000109,1,credit_card,2,80.46
order_000110,1,credit_card,1,74.22
order_000111,1,credit_card,3,103.84
order_000112,1,credit_card,6,85.55
order_000113,1,voucher,1,27.1
order_000113,2,credit_card,1,83.66
order_000114,1,boleto,1,39.87
order_000115,1,boleto,1,174.66
order_000116,1,credit_card,3,60.01
order_000117,1,credit_card,1,35.71
order_000118,1,credit_card,3,56.96
order_000119,1,boleto,1,395.04
order_000120,1,credit_card,3,37.54
order_000121,1,credit_card,12,44.87
order_000122,1,credit_card,1,63.02
order_000123,1,credit_card,3,351.91
order_000124,1,credit_card,3,28.81
order_000125,1,credit_card,1,85.57
order_000126,1,credit_card,10,161.12
order_000127,1,credit_card,2,435.55
order_000128,1,voucher,1,10.75
order_000128,2,boleto,1,49.06
order_000129,1,credit_card,1,105.93
order_000130,1,boleto,1,43.02
order_000131,1,voucher,1,46.67
order_000132,1,boleto,1,42.45
order_000133,1,credit_card,1,17.57
order_000134,1,credit_card,2,58.7
order_000135,1,credit_card,2,134.99
order_000136,1,credit_card,10,95.02
order_000137,1,credit_card,2,140.61
order_000138,1,credit_card,2,518.96
order_000139,1,credit_card,1,176.59
order_000140,1,credit_card,1,238.79
order_000141,1,credit_card,12,155.98
order_000142,1,voucher,1,24.82
order_000142,2,credit_card,10,84.66
order_000143,1,credit_card,10,65.0
order_000144,1,credit_card,1,147.58
order_000145,1,credit_card,3,121.12
order_000146,1,voucher,1,6.13
order_000146,2,boleto,1,30.84
order_000147,1,credit_card,12,18.24
order_000148,1,credit_card,10,98.02
order_000149,1,boleto,1,266.66
order_000150,1,credit_card,6,57.09
order_000151,1,boleto,1,91.11
order_000152,1,credit_card,2,409.39
order_000153,1,credit_card,12,283.58
order_000154,1,credit_card,1,87.87
order_000155,1,credit_card,1,74.37
order_000156,1,voucher,1,25.99
order_000156,2,boleto,1,101.13
order_000157,1,boleto,1,125.33
order_000158,1,credit_card,6,414.49
order_000159,1,boleto,1,23.41
order_000160,1,credit_card,3,116.04
order_000161,1,credit_card,6,30.93
order_000162,1,credit_card,2,71.12
order_000163,1,credit_card,2,332.12
order_000164,1,boleto,1,83.32
order_000165,1,credit_card,6,51.44
order_000166,1,credit_card,10,48.35
order_000167,1,boleto,1,234.37
order_000168,1,credit_card,3,224.88
order_000169,1,boleto,1,26.47
order_000170,1,credit_card,1,223.99
order_000171,1,voucher,1,721.35
order_000172,1,credit_card,6,48.1
order_000173,1,boleto,1,349.62
order_000174,1,credit_card,10,33.52
order_000175,1,debit_card,1,178.92
order_000176,1,credit_card,10,230.64
order_000177,1,credit_card,6,109.86
order_000178,1,boleto,1,183.93
order_000179,1,credit_card,12,68.61
order_000180,1,boleto,1,44.51
order_000181,1,credit_card,6,243.96
order_000182,1,voucher,1,59.65
order_000182,2,credit_card,2,270.78
order_000183,1,credit_card,2,46.8
order_000184,1,credit_card,1,68.48
order_000185,1,boleto,1,72.22
order_000186,1,credit_card,1,288.2
order_000187,1,credit_card,1,45.02
order_000188,1,credit_card,10,511.26
order_000189,1,credit_card,3,23.57
order_000190,1,credit_card,3,139.64
order_000191,1,boleto,1,95.64
order_000192,1,credit_card,10,23.58
order_000193,1,boleto,1,68.18
order_000194,1,credit_card,6,47.38
order_000195,1,credit_card,2,58.91
order_000196,1,credit_card,3,12.33
order_000197,1,credit_card,3,156.85
order_000198,1,credit_card,2,25.83
order_000199,1,credit_card,1,86.68
order_000200,1,credit_card,1,57.06
