order_month,order_count,revenue
2016-01,572,87455.75
2016-02,588,78683.16
2016-03,728,110972.73
2016-04,735,107225.64
2016-05,798,111164.07
2016-06,735,102402.84
2016-07,813,114183.65
2016-08,798,113573.12
2016-09,796,115835.18
2016-10,842,116888.81
2016-11,1572,214247.86
2016-12,1079,146456.97
2017-01,727,108733.32
2017-02,648,91978.17
2017-03,854,124818.02
2017-04,853,113026.93
2017-05,938,137394.0
2017-06,881,121793.01
2017-07,831,114950.92
2017-08,976,139694.96
2017-09,929,121998.44
2017-10,951,141436.53
2017-11,1705,238809.67
2017-12,1329,181440.53
2018-01,810,108294.96
2018-02,781,102444.42
2018-03,1005,139680.8
2018-04,960,133918.0
2018-05,1000,146642.82
2018-06,1028,136263.36
2018-07,1052,148052.93
2018-08,863,122147.51
