order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
order_005089,2,prod_01793,seller_00302,2016-06-06 18:50:00,129.0,13.79
order_004920,1,prod_01019,seller_00116,2016-08-08 15:34:00,47.46,16.29
order_023886,1,prod_01362,seller_00006,2016-06-14 21:28:00,202.65,24.9
order_001494,2,prod_01290,seller_00082,2017-12-05 12:44:00,97.86,14.43
order_013918,1,prod_00121,seller_00475,2018-05-16 14:22:00,53.4,22.15
order_025392,1,prod_01134,seller_00345,2018-04-08 21:21:00,274.64,26.53
order_004401,1,prod_01333,seller_00298,2017-08-18 18:00:00,43.9,8.34
order_028481,3,prod_00759,seller_00133,01/18/2017 09:34:00,18.17,7.85
order_010683,1,prod_01174,seller_00083,05/01/2016 12:12:00,59.91,8.48
order_024445,3,prod_00789,seller_00384,05/13/2016 09:22:00,47.09,11.6
order_028783,3,prod_00955,seller_00359,2017-04-16 22:51:00,11.02,6.5
order_002304,1,prod_01923,seller_00406,2017-11-23 11:38:00,118.39,21.25
order_029892,1,prod_00829,seller_00441,2017-11-28 17:39:00,25.49,7.46
order_023055,1,prod_00146,seller_00299,2018-01-19 13:36:00,15.07,9.55
order_021479,1,prod_01512,seller_00495,06/29/2017 13:42:00,35.45,15.77
order_021477,1,prod_01277,seller_00267,2017-01-01 16:07:00,144.32,29.89
order_019347,2,prod_00339,seller_00006,01/12/2017 13:12:00,95.71,16.79
order_025830,1,prod_00516,seller_00293,06/26/2018 05:01:00,93.78,16.94
order_023529,1,prod_00255,seller_00222,2017-08-22 19:41:00,10.36,7.28
order_006077,1,prod_00136,seller_00018,2016-09-08 08:07:00,20.03,17.86
order_002709,2,prod_00270,seller_00011,2016-12-16 16:51:00,48.18,13.5
order_005419,1,prod_00709,seller_00348,2018-02-27 19:26:00,35.84,10.66
order_004515,1,prod_00210,seller_00282,08/04/2017 19:42:00,62.73,16.27
order_023765,2,prod_00861,seller_00012,2017-08-24 13:11:00,12.34,9.63
order_021580,1,prod_00079,seller_00146,2017-12-28 18:22:00,95.31,25.2
order_026150,1,prod_00682,seller_00309,2017-08-22 22:08:00,53.32,13.99
order_000957,2,prod_01826,seller_00492,2017-11-23 20:39:00,171.2,27.23
order_005516,2,prod_01914,seller_00076,2016-10-16 11:23:00,100.35,22.72
order_021072,1,prod_00447,seller_00083,2018-03-21 04:52:00,27.4,11.95
order_010357,1,prod_00782,seller_00095,2016-07-08 18:42:00,264.68,35.67
order_014554,1,prod_01305,seller_00071,2018-08-07 12:03:00,21.61,6.5
order_012963,1,prod_01314,seller_00173,2016-02-14 13:35:00,15.94,6.5
order_009407,1,prod_00527,seller_00084,2017-07-22 17:41:00,80.93,17.5
order_015441,1,prod_00680,seller_00331,2016-09-10 18:59:00,18.23,9.63
order_006952,1,prod_01414,seller_00206,11/11/2017 20:46:00,46.39,13.96
order_020350,1,prod_00887,seller_00266,2016-02-25 13:33:00,122.73,14.45
order_025281,2,prod_00209,seller_00271,07/17/2018 19:44:00,103.47,23.5
order_003474,1,prod_01119,seller_00033,2018-07-06 20:46:00,70.67,25.01
order_025151,3,prod_01027,seller_00204,2017-02-15 09:51:00,19.59,8.08
order_023977,1,prod_00667,seller_00463,06/04/2017 23:43:00,42.67,14.41
order_025510,1,prod_00074,seller_00266,2016-11-13 17:20:00,67.04,15.42
order_011077,2,prod_00984,seller_00398,2017-11-30 15:24:00,95.82,16.79
order_024068,1,prod_00935,seller_00069,2017-03-29 19:50:00,43.65,15.16
order_016190,1,prod_01136,seller_00384,2018-01-02 20:44:00,25.02,9.8
order_016012,1,prod_01473,seller_00485,03/09/2016 09:33:00,51.1,13.32
order_009797,1,prod_00310,seller_00070,2017-04-19 15:23:00,41.89,15.76
order_001214,1,prod_01710,seller_00234,2017-07-17 12:12:00,44.79,14.55
order_028371,1,prod_00078,seller_00390,2017-02-15 18:49:00,234.86,49.26
order_017102,4,prod_00540,seller_00335,2018-03-16 20:05:00,330.49,63.32
order_004170,1,prod_00534,seller_00492,2018-05-12 22:40:00,41.35,10.19
order_006020,1,prod_01279,seller_00435,2018-04-19 17:21:00,10.25,6.5
order_005074,1,prod_01662,seller_00411,2017-07-16 16:51:00,39.56,13.5
order_008746,1,prod_01533,seller_00009,2017-02-16 16:00:00,95.17,21.65
order_000235,1,prod_00507,seller_00457,2017-11-22 17:20:00,5.57,6.5
order_021055,1,prod_00526,seller_00273,2017-03-13 21:37:00,14.22,7.83
order_021613,1,prod_01861,seller_00314,2017-07-10 21:57:00,25.16,14.5
order_027880,1,prod_01502,seller_00449,01/09/2018 07:47:00,162.84,33.13
order_026800,1,prod_00694,seller_00047,2017-04-03 21:40:00,35.74,R$ 11.44
order_021124,1,prod_01262,seller_00365,2017-03-12 13:50:00,126.46,17.01
order_002632,1,prod_01685,seller_00066,2018-07-06 15:27:00,70.31,11.07
order_023106,1,prod_01153,seller_00138,2016-07-05 09:08:00,66.48,12.77
order_004172,2,prod_00752,seller_00257,2017-04-07 17:26:00,24.3,10.82
order_010667,1,prod_01623,seller_00149,05/23/2018 21:08:00,R$ 152.12,40.54
order_007155,4,prod_00593,seller_00133,2017-10-31 10:31:00,42.33,13.35
order_002465,1,prod_01062,seller_00124,2016-12-28 15:54:00,531.25,43.17
order_010005,1,prod_00634,seller_00372,2018-09-01 07:02:00,306.11,30.27
order_019987,1,prod_00192,seller_00425,05/29/2016 16:52:00,28.71,10.52
order_015321,1,prod_01366,seller_00381,2016-10-10 12:38:00,78.66,20.96
order_015221,1,prod_01474,seller_00408,2016-10-31 06:09:00,150.39,24.89
order_016859,3,prod_00917,seller_00105,2017-09-07 09:24:00,107.85,17.25
order_021886,1,prod_01039,seller_00292,05/04/2017 13:45:00,R$ 148.36,33.99
order_020731,1,prod_01945,seller_00127,05/04/2017 20:00:00,26.97,11.27
order_006741,1,prod_01937,seller_00153,11/14/2016 12:36:00,28.47,9.96
order_000159,1,prod_00836,seller_00098,09/14/2016 09:03:00,16.91,6.5
order_015253,1,prod_00260,seller_00203,2017-06-15 21:46:00,R$ 29.55,11.46
order_026526,1,prod_00945,seller_00398,2017-05-25 10:37:00,45.49,12.7
order_013364,1,prod_01375,seller_00446,2016-03-10 10:20:00,41.23,14.06
order_015545,1,prod_01682,seller_00183,2018-05-22 11:01:00,40.83,11.5
order_022854,3,prod_00323,seller_00180,2017-10-15 05:37:00,72.11,11.36
order_029959,1,prod_01731,seller_00210,2018-02-20 17:08:00,88.92,14.26
order_020236,1,prod_00448,seller_00021,2016-12-04 16:38:00,58.77,15.39
order_005736,1,prod_01312,seller_00498,2017-09-22 11:35:00,578.4,72.47
order_019445,1,prod_01038,seller_00441,2018-05-08 11:59:00,62.72,11.92
order_009461,1,prod_00649,seller_00212,09/27/2016 19:43:00,23.0,12.61
order_021166,3,prod_01217,seller_00019,2016-01-19 14:41:00,21.24,9.15
