order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
order_011408,custid_012148_011408,delivered,06/06/2018 10:24:00,2018-06-06 13:04:14.913134407,2018-06-08 05:02:25.270362393,06/23/2018 16:31:59,06/21/2018 10:24:00
order_004534,custid_012997_004534,delivered,2017-09-05 23:17:00,09/06/2017 07:12:46,2017-09-07 11:23:54.780613530,2017-09-13 04:56:49.892208484,2017-09-10 23:17:00
order_005715,custid_017546_005715,delivered,2017-01-17 13:01:00,2017-01-17 18:58:55.961487788,2017-01-19 23:52:20.628166569,2017-01-28 02:30:41.090019125,2017-01-29 13:01:00
order_001610,custid_013301_001610,delivered,2017-07-20 15:10:00,2017-07-21 01:34:53.044381033,2017-07-22 01:00:20.780203121,2017-07-31 11:51:45.242717422,2017-07-31 15:10:00
order_013225,custid_011541_013225,delivered,2018-03-13 00:01:00,03/13/2018 04:29:37,03/13/2018 12:27:40,03/26/2018 06:15:08,2018-03-24 00:01:00
order_016328,custid_005603_016328,delivered,2018-02-03 09:06:00,2018-02-03 09:43:15.433095540,02/03/2018 22:18:11,2018-02-16 09:27:50.906815776,2018-02-18 09:06:00
order_008980,custid_010494_008980,delivered,2017-07-23 20:04:00,2017-07-23 22:53:45.316456291,07/29/2017 11:08:15,2017-08-04 19:38:59.807698051,2017-08-02 20:04:00
order_005879,custid_002370_005879,canceled,2018-03-08 17:52:00,2018-03-09 01:50:33.615149530,,,03/21/2018 17:52:00
order_029780,custid_012964_029780,delivered,2017-05-14 20:54:00,05/15/2017 01:39:23,2017-05-15 07:34:08.455024258,2017-05-24 16:22:21.169130828,2017-05-25 20:54:00
order_006206,custid_000849_006206,delivered,2017-10-03 21:25:00,2017-10-03 23:37:49.683320053,10/05/2017 06:22:28,2017-10-16 16:31:20.449975553,2017-10-14 21:25:00
order_028379,custid_000835_028379,delivered,2017-11-15 15:14:00,2017-11-15 21:39:23.832296346,2017-11-18 19:31:26.650184470,2017-12-17 16:30:37.303564563,2017-12-09 15:14:00
order_023916,custid_013961_023916,delivered,2018-04-15 09:20:00,2018-04-15 13:33:41.892962721,04/15/2018 23:47:23,2018-04-23 08:06:30.472001637,04/26/2018 09:20:00
order_016290,custid_009976_016290,delivered,2016-04-05 17:16:00,04/05/2016 21:22:13,04/06/2016 13:31:59,2016-04-15 23:43:16.570524474,2016-04-15 17:16:00
order_014880,custid_011162_014880,delivered,02/22/2016 07:55:00,2016-02-22 12:56:24.270493951,2016-02-23 19:07:53.034134124,2016-03-03 16:47:33.730502952,2016-03-05 07:55:00
order_024161,custid_006232_024161,delivered,2017-12-05 10:15:00,2017-12-05 17:12:32.254734376,12/06/2017 11:38:08,12/20/2017 04:04:10,2017-12-18 10:15:00
order_002276,custid_009770_002276,delivered,2018-06-23 13:04:00,2018-06-23 16:01:28.750126431,2018-06-25 21:47:42.933280934,07/08/2018 00:36:31,2018-07-06 13:04:00
order_007053,custid_016667_007053,delivered,2017-07-03 23:38:00,07/04/2017 01:53:43,2017-07-05 17:03:59.683934590,2017-07-12 22:52:28.452045637,2017-07-16 23:38:00
order_012709,custid_016036_012709,delivered,05/08/2017 11:15:00,2017-05-08 17:03:27.786866382,2017-05-11 17:08:16.150975548,2017-05-22 20:26:26.648592214,05/23/2017 11:15:00
order_019347,custid_001217_019347,delivered,2017-01-06 13:12:00,2017-01-07 02:59:42.401931716,2017-01-08 08:17:22.544816255,01/16/2017 12:28:50,2017-01-16 13:12:00
order_011500,custid_004944_011500,delivered,07/02/2016 18:38:00,07/03/2016 17:04:18,2016-07-04 14:41:13.010825755,07/16/2016 01:35:42,07/15/2016 18:38:00
order_029351,custid_016499_029351,delivered,2016-11-08 21:07:00,2016-11-08 22:02:35.539647211,11/11/2016 07:49:35,2016-11-17 07:49:58.670598377,2016-11-18 21:07:00
order_015568,custid_008829_015568,delivered,2017-05-11 14:25:00,2017-05-11 16:51:42.751077972,05/12/2017 22:34:14,2017-05-28 00:34:49.254677796,2017-05-21 14:25:00
order_016895,custid_003437_016895,delivered,09/30/2017 07:04:00,09/30/2017 14:38:02,2017-10-01 06:05:45.745356715,2017-10-25 14:53:45.501313835,2017-10-20 07:04:00
order_026405,custid_011439_026405,delivered,2017-09-03 10:15:00,2017-09-03 20:31:55.525169488,2017-09-05 08:23:40.011055806,09/08/2017 08:57:18,2017-09-10 10:15:00
order_010480,custid_000538_010480,delivered,2016-04-04 19:18:00,2016-04-05 01:08:59.458213374,2016-04-06 07:13:33.744448997,2016-04-16 08:47:57.788400715,2016-04-15 19:18:00
order_012917,custid_007094_012917,delivered,10/25/2017 18:51:00,2017-10-25 22:36:14.396903697,10/28/2017 07:10:01,2017-11-17 07:38:48.444166508,2017-11-11 18:51:00
order_009728,custid_009854_009728,delivered,2018-07-04 09:25:00,07/04/2018 13:44:01,2018-07-08 02:17:02.653663489,2018-07-13 20:31:04.226116608,2018-07-14 09:25:00
order_029028,custid_005033_029028,delivered,2017-06-22 06:33:00,2017-06-22 11:56:22.001595522,2017-06-28 00:52:56.042121709,07/05/2017 02:11:43,2017-07-03 06:33:00
order_011858,custid_018412_011858,delivered,2018-03-25 15:11:00,03/26/2018 05:49:26,2018-03-28 09:19:42.837818143,2018-04-10 21:00:03.931957123,2018-04-06 15:11:00
order_022613,custid_015720_022613,delivered,04/22/2016 20:03:00,2016-04-23 00:53:09.184626052,2016-04-25 22:21:45.173441536,2016-05-07 09:12:29.561883827,2016-05-03 20:03:00
order_023138,custid_005201_023138,delivered,2017-12-11 11:12:00,2017-12-11 16:08:12.997253727,2017-12-14 15:04:10.407561155,12/21/2017 05:42:49,2017-12-19 11:12:00
order_020205,custid_006254_020205,delivered,06/29/2017 17:28:00,2017-06-29 19:28:58.159151747,07/01/2017 16:26:42,2017-07-14 00:40:44.935682422,07/11/2017 17:28:00
order_011316,custid_006745_011316,delivered,2017-02-13 23:39:00,2017-02-14 03:31:16.853858454,02/19/2017 01:05:55,02/22/2017 09:41:33,2017-02-24 23:39:00
order_019770,custid_005293_019770,delivered,2018-07-09 11:20:00,2018-07-09 11:55:50.096982224,2018-07-11 09:24:45.071649984,2018-07-25 15:32:46.611126388,07/20/2018 11:20:00
order_023550,custid_011703_023550,delivered,07/07/2018 20:25:00,2018-07-08 06:28:26.601105110,07/08/2018 13:53:06,2018-07-23 17:19:25.873123174,2018-07-22 20:25:00
order_026986,custid_011025_026986,delivered,2017-07-03 19:16:00,2017-07-03 23:23:50.014704575,2017-07-05 11:50:22.600204851,07/18/2017 15:35:24,07/14/2017 19:16:00
order_022348,custid_010741_022348,delivered,2018-01-04 06:45:00,2018-01-04 08:22:29.283827491,2018-01-07 07:08:08.553670246,01/13/2018 01:12:44,01/15/2018 06:45:00
order_001616,custid_011790_001616,delivered,2017-10-21 09:31:00,2017-10-21 11:02:40.564130991,10/22/2017 15:54:28,11/03/2017 16:11:48,2017-11-02 09:31:00
order_011082,custid_009922_011082,delivered,02/19/2018 18:51:00,02/20/2018 02:49:48,2018-02-21 15:06:04.473572967,2018-02-28 08:01:11.417776483,02/26/2018 18:51:00
order_006788,custid_008150_006788,delivered,2018-04-12 17:11:00,04/12/2018 22:07:51,2018-04-16 01:42:28.255106422,2018-04-25 11:30:57.968426586,2018-04-28 17:11:00
order_002564,custid_001253_002564,delivered,2017-11-13 19:42:00,2017-11-13 22:05:54.041778236,11/16/2017 04:33:16,2017-11-24 16:51:47.120011765,11/26/2017 19:42:00
order_014754,custid_011397_014754,delivered,2017-12-09 19:05:00,2017-12-09 20:09:58.032720670,2017-12-14 07:50:19.465213731,12/20/2017 08:41:56,2017-12-23 19:05:00
order_013235,custid_014884_013235,delivered,2016-11-24 22:55:00,2016-11-25 02:49:58.732979356,11/26/2016 09:05:53,2016-12-06 19:09:43.790490690,2016-12-06 22:55:00
order_024093,custid_005339_024093,delivered,2017-12-21 09:24:00,2017-12-22 00:14:47.333838022,2017-12-25 05:49:51.822018102,01/01/2018 13:21:36,2018-01-03 09:24:00
order_009779,custid_010977_009779,delivered,2016-07-21 14:44:00,07/21/2016 20:42:42,2016-07-22 21:37:45.816491954,08/06/2016 09:42:34,08/03/2016 14:44:00
order_021529,custid_005249_021529,delivered,11/26/2017 14:07:00,2017-11-26 14:53:17.657775944,2017-11-29 02:15:50.767961695,2017-12-07 15:27:30.954965870,2017-12-05 14:07:00
order_012455,custid_002613_012455,delivered,2016-10-17 10:08:00,2016-10-17 15:38:01.536348909,10/17/2016 21:05:53,10/28/2016 11:21:23,10/30/2016 10:08:00
order_011501,custid_017853_011501,delivered,03/11/2018 15:33:00,2018-03-11 18:46:58.825451593,03/13/2018 20:05:38,2018-04-08 00:58:02.952305309,2018-04-02 15:33:00
order_017638,custid_006199_017638,delivered,2016-06-26 08:58:00,2016-06-26 14:04:50.361909159,06/28/2016 02:03:31,2016-07-09 11:52:58.039063961,07/09/2016 08:58:00
order_009165,custid_013109_009165,delivered,2018-04-24 11:04:00,2018-04-24 15:32:33.693558448,2018-04-24 23:49:36.950544377,05/04/2018 06:01:00,05/02/2018 11:04:00
