product_id,product_cost
prod_00000,71.18
prod_00001,13.85
prod_00002,19.8
prod_00003,19.33
prod_00004,28.8
prod_00005,28.17
prod_00006,9.83
prod_00007,9.57
prod_00008,40.05
prod_00009,79.94
prod_00010,49.86
prod_00011,71.21
prod_00012,9.43
prod_00013,25.5
prod_00014,23.43
prod_00015,20.91
prod_00016,17.45
prod_00017,18.82
prod_00018,38.57
prod_00019,16.77
prod_00020,39.44
prod_00021,32.79
prod_00022,46.06
prod_00023,14.01
prod_00024,36.15
prod_00025,85.4
prod_00026,52.74
prod_00027,12.21
prod_00028,10.98
prod_00029,6.11
prod_00030,7.49
prod_00031,44.98
prod_00032,16.63
prod_00033,38.87
prod_00034,9.48
prod_00035,9.91
prod_00036,60.45
prod_00037,28.25
prod_00038,59.55
prod_00039,32.28
prod_00040,27.56
prod_00041,7.29
prod_00042,63.94
prod_00043,49.17
prod_00044,43.88
prod_00045,11.12
prod_00046,19.94
prod_00047,14.58
prod_00048,40.46
prod_00049,7.81
prod_00050,31.03
prod_00051,21.75
prod_00052,14.65
prod_00053,18.28
prod_00054,40.98
prod_00055,15.1
prod_00056,20.78
prod_00057,14.55
prod_00058,8.77
prod_00059,147.02
prod_00060,31.88
prod_00061,75.44
prod_00062,15.8
prod_00063,19.15
prod_00064,41.46
prod_00065,42.31
prod_00066,37.52
prod_00067,12.43
prod_00068,23.01
prod_00069,21.07
prod_00070,10.93
prod_00071,43.37
prod_00072,114.29
prod_00073,66.21
prod_00074,49.08
prod_00075,238.15
prod_00076,222.42
prod_00077,208.38
prod_00078,90.28
prod_00079,54.98
prod_00080,79.74
prod_00081,45.89
prod_00082,13.97
prod_00083,13.15
prod_00084,47.33
prod_00085,53.66
prod_00086,5.91
prod_00087,10.4
prod_00088,24.39
prod_00089,14.09
prod_00090,9.21
prod_00091,9.86
prod_00092,27.36
prod_00093,25.44
prod_00094,129.89
prod_00095,27.6
prod_00096,11.88
prod_00097,58.43
prod_00098,12.89
prod_00099,36.92
prod_00100,56.12
prod_00101,62.25
prod_00102,6.35
prod_00103,7.57
prod_00104,8.48
prod_00105,73.48
prod_00106,19.05
prod_00107,11.43
prod_00108,16.81
prod_00109,15.5
