seller_id,seller_zip_code_prefix,seller_city,seller_state
seller_00000,81020,joinville,SC
seller_00001,73933,rio de janeiro,RJ
seller_00002,56272,brasilia,DF
seller_00003,88752,porto alegre,RS
seller_00004,13698,campinas,SP
seller_00005,92183,sao luis,MA
seller_00006,85171,londrina,PR
seller_00007,50859,florianopolis,SC
seller_00008,73605,sorocaba,SP
seller_00009,52506,niteroi,RJ
seller_00010,27607,sorocaba,SP
seller_00011,80186,belem,PA
seller_00012,25346,contagem,MG
seller_00013,32130,salvador,BA
seller_00014,52409,rio de janeiro,RJ
seller_00015,83900,santos,SP
seller_00016,39008,belo horizonte,MG
seller_00017,49919,sao paulo,SP
seller_00018,5124,feira de santana,BA
seller_00019,12469,uberlandia,MG
seller_00020,6538,curitiba,PR
seller_00021,8133,campinas,SP
seller_00022,86982,sao luis,MA
seller_00023,84356,recife,PE
seller_00024,82365,florianopolis,SC
seller_00025,6501,sorocaba,SP
seller_00026,8686,duque de caxias,RJ
seller_00027,28780,sao paulo,SP
seller_00028,56963,sao paulo,SP
seller_00029,34078,caxias do sul,RS
seller_00030,49267,curitiba,PR
seller_00031,18126,campo grande,MS
seller_00032,73346,campinas,SP
seller_00033,32075,sao paulo,SP
seller_00034,7587,rio de janeiro,RJ
seller_00035,74525,sorocaba,SP
seller_00036,90375,sao paulo,SP
seller_00037,2453,rio de janeiro,RJ
seller_00038,44230,sorocaba,SP
seller_00039,82889,porto alegre,RS
seller_00040,70909,duque de caxias,RJ
seller_00041,85797,salvador,BA
seller_00042,42105,porto alegre,RS
seller_00043,37853,sao paulo,SP
seller_00044,71207,feira de santana,BA
seller_00045,16207,joinville,SC
seller_00046,24702,campinas,SP
seller_00047,60482,sao paulo,SP
seller_00048,67176,porto alegre,RS
seller_00049,12847,santos,SP
seller_00050,51322,sao paulo,SP
seller_00051,37126,santos,SP
seller_00052,50672,joinville,SC
seller_00053,95883,caxias do sul,RS
seller_00054,8584,porto alegre,RS
seller_00055,99549,florianopolis,SC
seller_00056,45507,rio de janeiro,RJ
seller_00057,77437,contagem,MG
seller_00058,43022,santos,SP
seller_00059,31784,santos,SP
seller_00060,77288,porto alegre,RS
seller_00061,69078,rio de janeiro,RJ
seller_00062,15261,contagem,MG
seller_00063,70834,londrina,PR
seller_00064,75553,contagem,MG
seller_00065,39395,duque de caxias,RJ
seller_00066,92638,belo horizonte,MG
seller_00067,64447,campinas,SP
seller_00068,34028,sao paulo,SP
seller_00069,2062,duque de caxias,RJ
seller_00070,67820,santos,SP
seller_00071,21696,campinas,SP
seller_00072,75895,brasilia,DF
seller_00073,52983,sorocaba,SP
seller_00074,47205,santos,SP
seller_00075,17211,sorocaba,SP
seller_00076,71438,sorocaba,SP
seller_00077,17424,belo horizonte,MG
seller_00078,42357,uberlandia,MG
seller_00079,83793,joinville,SC
seller_00080,92115,contagem,MG
seller_00081,98923,sao paulo,SP
seller_00082,95842,salvador,BA
seller_00083,56040,santos,SP
seller_00084,20847,sorocaba,SP
seller_00085,84067,sao paulo,SP
seller_00086,80360,londrina,PR
seller_00087,99040,rio de janeiro,RJ
seller_00088,65443,sao paulo,SP
seller_00089,15017,niteroi,RJ
seller_00090,50786,campinas,SP
